,,□,経営コンサルタント,・夏から秋への変わり目の需要が盛り上がらず、食品、レジャー等の消費財関連が動き出すか、やや疑わしい。,,
,,□,社会保険労務士,・特に環境の変化もなく、今後もプラス要因があるわけでもないので、あまり変わらない。,,
,,□,その他サービス業［情報サービス］（経営者）,・現在の引き合い、商談件数から推測すると、前年同期より収益の増加が見込める。,,
,,▲,食料品製造業（営業統括）,・現在円高で推移しており、外国人観光客にとってはマイナスである。また、外国人観光客に対する酒税減免案が打ち出されているが、まだ大分先の話なので、しばらくこの状況は続く。,,
,,▲,窯業・土石製品製造業（経営者）,・商品販売以外に、ものづくり体験教室等のＰＲをしているが、ほとんど反応がなく、先行きが非常に気掛かりである。ＰＲの方向性を根本的に考え直す必要がある。,,
,,▲,一般機械器具製造業（経営者）,・今月より来月以降の受注が減少する計画となっている。,,
,,▲,通信業（経営者）,・受注が激減しており、回復の目途も立たない状態である。,,
,,▲,不動産業（経営者）,・純利益が減少する仕事の割合が増えることが予想される。,,
,,▲,不動産業（管理担当）,・下期に向けて、受託先の業務見直しが行われる予定があり、受注金額や頻度の下げ圧力が強そうな気配がある。,,
,,×,出版・印刷・同関連産業（経営者）,・利益が上がらず、毎月の資金繰りが大変である。,,
,,×,電気機械器具製造業（経営者）,・主要顧客に、受注増となるような新製品等の計画がない。,,
"雇用
関連

(北関東)",,◎,－,－,,
,,○,人材派遣会社（管理担当）,・突発的な派遣が増えると予測しているため、製造関連派遣の受注依頼は増えている。,,
,,○,人材派遣会社（支社長）,・引き合いの多くが、企業の中核をなす中長期的な育成が必要な人材であることが多く、引き合いの種類として先行投資の傾向が強い。,,
,,○,職業安定所（職員）,・企業合同面接会の参加希望企業が前年より多い。雇用意欲が増してきている。,,
,,□,人材派遣会社（営業担当）,・採用条件の幅を広げれば良いと思うが、このままであれば変わらない。,,
,,□,求人情報誌製作会社（経営者）,・相変わらず不透明な景気のなか、求人はやや多いが、応募者が少ない業種の募集に偏っている。,,
,,□,職業安定所（職員）,・月間有効求職者数も５か月連続で減少しているが、求人、求職は停滞し、依然として人手不足が続いている。このような状況が当面続くのではないかと思うが、円高や英国のＥＵ離脱問題といった不景気要素もありながら、まだ人手不足感があるので、安定してくるのではないか。,,
,,□,職業安定所（職員）,・求職者数は減少、求人数は増加傾向を示しているが、円高や中国経済などの不安要素も多くあることから、変わらない。,,
,,□,民間職業紹介機関（経営者）,・様々な理由から採用計画が未達成のため、現有勢力で賄うといった傾向が著しい。,,
,,□,学校［専門学校］（副校長）,・求人数は増えているが、業種、職種に偏りがあり、直接作業の仕事がほとんどである。間接作業の求人が増えなければ、景気が良くなったとはいえない。また、求職者とのミスマッチの状況が続いている。,,
,,▲,人材派遣会社（経営者）,・厳しい残暑もまだ続くため、夏物衣料は多少良いと予測しているが、青果物や作物等は、台風被害の影響で価格が高騰し、購買力も多少抑えられることも予想されるので、先行きの景気は落ちてくる。,,
,,×,＊,＊,,
,,,,,,
　４．南関東（地域別調査機関：株式会社日本経済研究所）,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,
"家計
動向
関連

(南関東)",東京都,◎,その他小売［雑貨卸］（経営者）,・来客数と売上から、良くなる(東京都)。,,
,東京都,◎,一般レストラン（経営者）,・今月は宴会場フロアを改装工事しており、使えなかった。来月からまた使用でき、宴会も受けられるため、今月よりは売上も上がる(東京都)。,,
,東京都,◎,旅行代理店（販売促進担当）,・２～３か月後は、秋の旅行シーズンを迎える。特に法人団体に強い当社には、大きな月となる。また修学旅行もピークを迎えるので、２つの大きな山を迎えプラス材料と考えている。ただし、海外旅行はあまり伸びていないため、懸念材料である(東京都)。,,
,東京都,◎,観光名所（職員）,・今月は前年実績よりは若干良いが、２～３か月後は秋山のトップシーズンを迎えるため、今月より良くなる(東京都)。,,
,,◎,その他サービス［立体駐車場］（経営者）,・11月末で閉店する近隣の大型店舗から駐車場の提携特約をもらっているため、閉店売出しで忙しくなる。,,
,,◎,住宅販売会社（従業員）,・お盆休みのキャンペーン展開により集客した客は、２～３か月先の販売につながると判断している。住宅ローン金利上昇のニュースはあるが、短期固定金利やフラット35は相変わらずの低金利であり、あまり影響はないとみている。,,
,東京都,○,商店街（代表者）,・はっきりはしていないが、来街者数や、イベントへのレスポンスは明らかに良くなっている。この流れが購買につながれば、上方修正も有り得る(東京都)。,,
,,○,一般小売店［和菓子］（経営者）,・秋になり行事やイベントが続き、前年に比べて、大きな注文やイベントへの出店回数が増えるため、売上は増加する。,,
,東京都,○,一般小売店［家電］（経営者）,・参議院選で与党が伸びたため、大幅な補正予算が組まれており、徐々に良くなってくる(東京都)。,,
,東京都,○,一般小売店［文房具］（経営者）,・８月は天候不順による落ち込みと考えている。微増ではあるが前年度から売上及び販売額は好転しているので、来月以降、景気は回復する(東京都)。,,
,,○,百貨店（総務担当）,・経済の不安定感が軽減し、消費にも好影響を与えるのではないか。,,
,,○,百貨店（店長）,・天候不順が解消され、安定的に持ち直してくれば、動きの止まっている秋物需要が高まる。,,
,,○,スーパー（経営者）,・より良くなるように努力している。,,
,東京都,○,スーパー（店長）,・今が底だと思うので、３か月後は今より少しでも良くなってもらわないと、冬のボーナスに影響が出る。当店での施策は従来どおりで、何か新しいイベントをして集客するようなことはないが、今やっていることをきちんとやり、結果を出していきたい(東京都)。,,
,,○,コンビニ（経営者）,・商売をしているので、売上、来客数から総合判断すると、月末になると多くの購入客が来店するため、景気が良くなる。,,
,,○,衣料品専門店（経営者）,・前年はプレミアム付商品券の発行による需要の喚起で、一時良かったものの、結果は今一つだった。１年後の今も、あまり売上が伸びる状況ではなく、一般消費者は無駄遣いできない気持ちで固まっている。,,
,,○,乗用車販売店（店長）,・新車発表があるので、上向く。,,
,,○,乗用車販売店（総務担当）,・決算や新車発表効果によって、サービス需要が戻ってきており、徐々にではあるが業績好調が続くと予想する。,,
,東京都,○,その他小売［ゲーム］（開発戦略担当）,・ハイエンド向けのゲームは動きが良いため、そちらに期待したい(東京都)。,,
,,○,一般レストラン（経営者）,・２～３か月先は、良くなる。当店は８月が年間で１番売上が悪く、これから９～11月にかけては伸びていく。,,
,東京都,○,一般レストラン（経営者）,・東京オリンピックに向けて、少しずつでも上向いてくるように感じる(東京都)。,,
,,○,一般レストラン（スタッフ）,・悪い材料が出尽くして、今度は東京オリンピックに備えていく。当地は東京の近くなので、多少活気が出てくるのではないかと思っている。,,
,,○,都市型ホテル（スタッフ）,・10～11月の行楽シーズンは、現段階では良い動きとなっている。,,
,東京都,○,旅行代理店（営業担当）,・円高による海外旅行費用の減額や、海外で使える資金の増加により、若干の景気上昇は期待できる(東京都)。,,
,東京都,○,タクシー運転手,・景気は足踏みが長期化している。当面は、円高進行を受けた企業収益の下振れ、在庫調整圧力の持続などが景気押し下げに作用する。在庫調整が一巡するにつれて、景気は持ち直しに向かう見通しである。2017年度に向けても、消費税増税の再延期により、下振れ要因はなくなるが、景気回復基調が続く公算等の報道もあり、徐々に景気は良くなる(東京都)。,,
,,○,タクシー（経営者）,・東京オリンピックまでは景気が上向きそうである。,,
,東京都,○,通信会社（経営者）,・客も手持ちのお金があるので、そろそろ使いたくなるのではないか(東京都)。,,
,東京都,○,通信会社（経営企画担当）,・下半期予算による案件増加が予想される(東京都)。,,
,,○,ゴルフ場（経営者）,・来場者数が増えている。,,
,,○,ゴルフ場（企画担当）,・秋口よりプレー代は通常料金に戻るが、客の申込は順調である。,,
,,○,設計事務所（経営者）,・包括契約とは別に、物件ごとの契約案件が動き出しているため、やや良くなる。,,
,,□,商店街（代表者）,・最近の客の様子は、買物に対して非常に消極的で、なかなか買物をしてくれない状況が続いている。,,
,,□,一般小売店［家電］（経理担当）,・家電製品で、これから売れるという物が見当たらない。今後、デジタル家電を売っていこうと思うが、年配客も多く、販売するまでに説明が必要なため、時間がかかる。,,
,,□,一般小売店［家電］（経理担当）,・家電の動き自体は静かだが、工事などの需要は多くなっている。,,
,東京都,□,一般小売店［家具］（経営者）,・リオデジャネイロオリンピックでは選手が活躍し非常に良いムードがあるので、景気は良くなるのではないかという期待をしているが、多分変わらない(東京都)。,,
,,□,一般小売店［文具］（販売企画担当）,・今年度末の３～４月あたりの長期案件等は多数出てきているが、２～３か月後の大口案件があまり出てきていない。また、天候等に左右されやすい小売も先が見えない。今後どうなるか、なかなか分からない。,,
,東京都,□,一般小売店［茶］（営業担当）,・競合が多く、新規取引先の受注もなかなか取れない。現状維持では先細りが考えられるため、会社の景気が上向くとは思えない。今は我慢の時かもしれない(東京都)。,,
,,□,百貨店（売場主任）,・株価や賃金の上昇が見込めず、さらに物価下落もあり、売上の上がらない構造になっている。中間層の消費需要が盛り上がらない状況は続く。,,
,,□,百貨店（総務担当）,・下げ止まった感はあるものの、改善する兆しは見えないため、この状況が続く。ただし、日用品は良く動いており、衣料品の販売動向を確認していく。,,
,東京都,□,百貨店（広報担当）,・前々年にインバウンドが大幅増となった反動から、前年は10月以降に海外からの来店客が伸び悩んだ。今年の９月いっぱいでその影響がなくなる点ではプラスだが、客の関心アイテムは低単価に移りつつあるため、大きな押し上げ要因とならない(東京都)。,,
,東京都,□,百貨店（営業担当）,・天候不順で、特に台風の首都圏への影響が大きく、来客数が減少しており、衣料品、服飾雑貨、食料品など全般的に商品の動きが悪い。景気も停滞気味である(東京都)。,,
,東京都,□,百貨店（営業担当）,・暖冬予想や大きな秋のトレンドはないため、変わらない(東京都)。,,
,東京都,□,百貨店（営業担当）,・依然として時計や宝飾品など高額品の動きは鈍い。また、免税取扱額は大きくはないものの着実に伸びており、外国人観光客の来店状況は継続して大きな伸びを示している。９月以降の中秋節や国慶節などに期待できる(東京都)。,,
,東京都,□,百貨店（営業担当）,・株価低迷や円高は続いており、消費マインドの高まる要素が少ない(東京都)。,,
,東京都,□,百貨店（販売促進担当）,・消費マインドの停滞は続く(東京都)。,,
,東京都,□,百貨店（計画管理担当）,・百貨店の主力である服飾関係の売上が回復しない限り、景気は上向かない(東京都)。,,
,,□,百貨店（副店長）,・年度後半は、消費税再増税前の駆け込み需要も考えられていたが、それがなくなり大きな変化要因は見当たらない。経済環境と同様に、客の消費行動には予測できない部分も多く、景気の先行きの不透明感は続く。,,
,,□,百貨店（店長）,・天候要因以外には伸びる要素もなく、また、落ちる要素もないため、変わらない。,,
,東京都,□,スーパー（経営者）,・政府が新たな政策を打ち出さないと難しい(東京都)。,,
,東京都,□,スーパー（販売担当）,・客の買い方を見ていると、店舗ごとのお買い得デー、早朝タイムサービスなどの特典を上手に買い回っているようである。価格の安い物、値ごろな物を買い回り、付加価値のある高単価商品を買う状況は、まだほとんどない(東京都)。,,
,,□,スーパー（経営者）,・やや悪い状態が今後も続く。客の買い方がかなりシビアになっている。また、当社特有の事情だが、10月に競合店が出店するので影響がある。,,
,,□,スーパー（経営者）,・特に変化はない。,,
,東京都,□,スーパー（店長）,・現状、節約志向が依然として根付いており、しばらくは同様の状況が続く(東京都)。,,
,,□,スーパー（店長）,・所得格差が広がっており、販売商品においても、高額品から低価格なバリュー商品と幅広い品ぞろえが必要となる。また現状、来客数は横ばいか増えているものの、客の必要な価格帯、品質に合わなければ、販売量、単価等はすぐに下落傾向となる。,,
,,□,スーパー（総務担当）,・日常の買回り品については、購買、消費意欲は、非常に低いままである。ただし、旅行や趣味、し好品等については、お金を結構かけている。また、流行品にも、お金や時間をかける状況が続く。品質の良い物を、他店と比べて少しでも安く手に入れようとしており、店全体の売上は、前月から変わらずに、厳しい状況が続く。,,
,東京都,□,スーパー（営業担当）,・現状、円高株安が景気を圧迫しており、将来的な不安も助長している。この状況が回避されないと景気が上向かないのではないか(東京都)。,,
,,□,スーパー（仕入担当）,・前年以上に競合店で価格の打ち出しが多くなっている。売価を下げても売上の変わらない状況は今後も続く。,,
,,□,スーパー（副店長）,・消費が好転する傾向を感じない。,,
,,□,コンビニ（経営者）,・今年は、前年にあった大きな工事現場がなくなり、その分の来客数と販売量の動きは下がっている。,,
,,□,コンビニ（経営者）,・来客数の動きから見てあまり良くない。また、消費性向も比較的弱いので、今後も期待できない。,,
,,□,コンビニ（経営者）,・景気が上向いているとは感じられず、しばらくはこのまま推移すると思われる。,,
,東京都,□,コンビニ（エリア担当）,・客足の伸びが鈍い状況は変わらず、販売量の大幅増が期待できない(東京都)。,,
,東京都,□,コンビニ（商品開発担当）,・来客数が増えるきっかけがないまま、販売単価も徐々に低下しており、今後の上昇が見込めない(東京都)。,,
,,□,衣料品専門店（経営者）,・８月はあまり良くなかったが、９月以降、10月に向けて秋物が伸びれば良いと期待している。,,
,,□,衣料品専門店（経営者）,・景気の良くない状態が長い間続き、消費の冷え込みや、購買力が上向くには、まだしばらく時間がかかる。,,
,,□,衣料品専門店（統括）,・来客数は安定しているが、販売量、客単価に伸びがない。,,
,,□,家電量販店（店長）,・不安定な天候が続いており、集客には不安が残る。残暑に伴う需要増加に期待したい。,,
,東京都,□,家電量販店（店員）,・各量販店の厳しい現状が続くとみている(東京都)。,,
,,□,家電量販店（統括）,・為替や国際情勢により、株価が大きく上下しているなか、家電に対する消費マインドが年末に向けて大きく上昇するとは思わない。現に来客数は毎月減少傾向にあるが、円相場が105円まで進むとインバウンド需要にも活気が戻りそうである。,,
,東京都,□,家電量販店（経営企画担当）,・現在の消費環境を変える、一時的なカンフル剤ではない施策等がなければ、大きくは改善しない。消費者の行動に合わせた価格訴求の展開が中心となる(東京都)。,,
,,□,乗用車販売店（経営者）,・自動車の整備と販売をしているが、整備は順調に入っているものの、販売があまり芳しくない。今年いっぱいはあまり良くないのではないか。,,
,,□,乗用車販売店（経営者）,・新車のモデルチェンジが出るまでは、現状と変わらない。,,
,,□,乗用車販売店（営業担当）,・暮れに向けてボーナス商戦があるが、客からボーナスが出るか分からないという話を聞くことが多い。,,
,東京都,□,乗用車販売店（販売担当）,・外的要因で良くなる傾向はまず見当たらない。政府が緊急支援対策を行うようだが、現場の末端運送事業者まで伝わってくるのは２～３か月先ではなく、暮れから１月にかけてではないか。そうしたことから、やや悪い状況のまま変わらない(東京都)。,,
,東京都,□,住関連専門店（営業担当）,・消費税増税の再延期の影響がどう出てくるかは読みづらいが、その他に特段悪材料があるわけではないため、しばらく大きな変化はないものと考える(東京都)。,,
,,□,住関連専門店（統括）,・景気の上向く要素が見当たらず、現状維持が続くのではないか。,,
,,□,その他専門店［ドラッグストア］（経営者）,・大型店を閉店し、小規模のテナント店舗を出店するため、企業規模は変わらない。これから年末商戦に向けて、客の財布のひもをいかに緩められるかにかかっている。,,
,,□,その他専門店［ドラッグストア］（経営者）,・良くなる要素が見えてこない。,,
,東京都,□,その他小売［ショッピングセンター］（統括）,・購買意欲を向上させるような政策が見当たらないため、淡々と時間のみが過ぎていくのではないか(東京都)。,,
,東京都,□,その他小売［生鮮魚介卸売］（営業）,・台風などの天候の影響が、まだしばらくは心配である(東京都)。,,
,,□,高級レストラン（経営者）,・今年後半に向かって、良い要素が何もない。,,
,東京都,□,高級レストラン（副支配人）,・法人関連の宴席予約状況から判断している(東京都)。,,
,東京都,□,高級レストラン（仕入担当）,・販売単価、来客数、売上高いずれも前年並みとみており、様子見状態は続きそうである(東京都)。,,
,東京都,□,一般レストラン（経営者）,・イベントや祭りと銘打っても、その時だけのにぎわいである。景気の先行きに対する不透明感はぬぐえない(東京都)。,,
,,□,一般レストラン（経営者）,・来客数や街の状況が変わらないため、まだしばらくは売上も変わらない。,,
,東京都,□,一般レストラン（経営者）,・アベノミクスの効果もまだまだで、デフレ脱却もできていない。消費者の財布のひもは緩むどころか、ますます固くなっている。景気は良くなりようがない(東京都)。,,
,東京都,□,その他飲食［居酒屋］（経営者）,・テレビから流れてくるのは、景気の悪い情報ばかりである(東京都)。,,
,,□,都市型ホテル（スタッフ）,・アベノミクスの次の政策がよほどのものでない限りは、現状が続くのではないか。,,
,,□,都市型ホテル（スタッフ）,・秋の観光シーズンで繁忙期を迎えるが、この先の予約は例年をやや下回る状況である。年々予約時期が遅くなっており、直近での駆け込み受注もあるため期待している。しかし、大幅に例年を上回ることはないので、全体的な景気は変わらない。,,
,,□,旅行代理店（経営者）,・旅行シーズンにあたる９月後半から11月後半にかけての予約が今のところ低迷しているため、現状とあまり変わらないのではないか。,,
,,□,旅行代理店（従業員）,・今後も低価格商品の販売は増えるものの、単価が低いため変わらない。,,
,東京都,□,旅行代理店（営業担当）,・10～11月においても大きな増収が見込めない(東京都)。,,
,,□,タクシー運転手,・実際に手取額が増えていないため、まだ景気が良いとはいえない。,,
,,□,タクシー運転手,・良くも悪くもない状況が続いている。今一つ客の動きがつかめない。都内で初乗り料金を安くする試みが気になるところである。初乗り料金を下げることで、客の利用が増えるのであれば、当地域でも考えていくべきかもしれない。,,
,東京都,□,タクシー運転手,・深夜の人の動きに変わりがない(東京都)。,,
,東京都,□,タクシー運転手,・客の様子や会話から、景気が良くなっているという話はほとんどない。しかし、道路工事は異常なほど多くなっている(東京都)。,,
,,□,タクシー（団体役員）,・年度当初に比べて景気は安定してきていると思うが、ボーナス等による一時的なものか、継続性があるのか、今しばらく様子を見る必要がある。,,
,東京都,□,通信会社（社員）,・良い話がない(東京都)。,,
,,□,通信会社（営業担当）,・好転していく要素が見当たらず、厳しい状態は続く。,,
,,□,通信会社（営業担当）,・インターネット回線は他社との価格競争が激しく、今後も同様な状況が続く。,,
,東京都,□,通信会社（局長）,・リオデジャネイロオリンピックの効果もあまりなく、しばらくはこの状況が続く(東京都)。,,
,,□,通信会社（営業担当）,・良くなる材料が見当たらない。希望的観測を含めた変わらない、である。,,
,東京都,□,通信会社（管理担当）,・法人向けのソリューション設備投資、携帯電話及び周辺機器の販売に大きな変化はない(東京都)。,,
,東京都,□,その他レジャー施設（経営企画担当）,・催事や宿泊、宴会などの予約は堅調に推移しているものの、更なる伸びを期待できる材料がない(東京都)。,,
,,□,その他サービス［保険代理店］（経営者）,・歳末に向けて顧客増を期待したいが、客の新規開拓、売上単価もさほど期待出来ない。,,
,東京都,□,その他サービス［電力］（経営者）,・新築マンションの建設は、予算通り進みそうである(東京都)。,,
,,□,その他サービス［学習塾］（経営者）,・ここ最近の状況から急に変わることはないと思われる。,,
,,□,設計事務所（経営者）,・現在の手持ちの仕事は、官庁案件を落札できたことによる。周りの経済情勢を見ても、回復傾向にあるとは考えにくい。しばらくはこの状況が続く。,,
,東京都,□,設計事務所（職員）,・状況が変わる気配や情報がない(東京都)。,,
,東京都,□,住宅販売会社（従業員）,・低金利の効果を意識しているユーザーは多いが、慎重さは相変わらず高く、状況がすぐに変わる感じはない(東京都)。,,
,,□,住宅販売会社（従業員）,・３か月後も大きく上向くことはないと思うが、この調子のまま変わらずに推移していく。都内の新築売りアパートは良いが、川崎、横浜の主要駅以外の物件は、入居に時間がかかっている。都内物件を中心に販売できれば順調にいく。,,
,,□,住宅販売会社（従業員）,・客の動向に変化はなく、良くも悪くもならない状態が続いている。,,
,東京都,□,その他住宅［住宅資材］（営業）,・今後に大型案件がなく、景気上昇となるような環境ではなくなっている(東京都)。,,
,東京都,▲,商店街（代表者）,・台風が多く、大雨も降ることは一番良くないので、早くこの状態がなくならないと困る。雨量も多くこのような台風は今まで経験がない(東京都)。,,
,東京都,▲,商店街（代表者）,・中小型スーパーの台頭により、客が住宅街のスーパーで事足りるようになり、一層商店街との競合が厳しくなっている(東京都)。,,
,,▲,一般小売店［茶］（経営者）,・今年に入り極度の売上不振が続いている。８月は３つの台風と猛暑で来客数、売上共に減少が続いている。,,
,,▲,一般小売店［印章］（経営者）,・今月は特にお盆休みなどで開店休業状態である。これから９～10月に入っても、当店のような独立店舗だと、来客数が非常に低迷しているため、難しい。,,
,,▲,一般小売店［祭用品］（経営者）,・お祭りのピークは過ぎたので、秋は夏のような需要は見込めない。,,
,,▲,一般小売店［傘］（店長）,・近隣に大型ショッピングモールが開店するため、当面は客足が遠のくのではないかと危惧している。,,
,,▲,百貨店（総務担当）,・客の節約志向は継続し、購入に対する慎重な姿勢は更に強まると予想する。,,
,東京都,▲,百貨店（広報担当）,・世の中に節約志向が広がって７月の消費者物価は0.5％下落している。消費者がいち早く財布のひもを固くする百貨店はその影響を直に受けている。一度そのような状況になれば、売上の回復が最も遅れるのも百貨店の特性である。現状は食品が何とか前年売上を確保できている以外は、おしなべて不調である。８月に行った超高級時計の特別販売会も振るわなかった。現状の円高は、この先の輸入物価の下落を招き、一歩遅れて百貨店の商品価格低下につながる。どうしても先行きは厳しい(東京都)。,,
,東京都,▲,百貨店（営業担当）,・秋から冬にかけて暖冬傾向の予想で売上期待感は薄い。また、売れ筋商材も見つからず、メーカーが在庫を抑えており期待できない(東京都)。,,
,東京都,▲,百貨店（営業担当）,・一般客の財布のひもは相変わらず緩むことはなく、さらに高額所得者についても購買単価が減少するなど、ダブルパンチ状態である。アパレル関連が苦戦するなか、秋～冬にかけて商品単価は上昇するが、現在の不振が続くようであれば、前年売上との開きはますます広がるばかりであり、厳しい状況が続く(東京都)。,,
,東京都,▲,百貨店（販売促進担当）,・前年まで売上をけん引していたインバウンドは低迷し、苦戦が続く国内の中間層マーケットに回復の兆しは見られず、むしろ後退している。そうした現状で今後大きく好転する材料は見つからない(東京都)。,,
,,▲,百貨店（販売促進担当）,・新たな祝日となった山の日以降、お盆の週は帰省土産の購入などで食品の売上が良かった。ただし、客の消費に対する意識は依然として厳しく、帰省土産でも必要な物しか買わない傾向は今後も続く。,,
,,▲,スーパー（仕入担当）,・円高、株安のデフレ傾向に振れており、消費者の意識に節約志向が出てきている。,,
,東京都,▲,コンビニ（経営者）,・最近の客の様子から、やや悪くなる(東京都)。,,
,,▲,コンビニ（経営者）,・コンビニ同士のセール合戦で消耗戦に入っている。大型店舗のセールも増加し、より一層厳しくなっており、先行きがみえない。,,
,,▲,コンビニ（経営者）,・今後は徐々に来客数が減り、売上も減少傾向になる。特に３か月後の11月は１年で一番少ない月である。また、今月も台風の影響があったが、最近は台風の動きが変わってきており、首都圏を直撃しているので、９～10月も心配している。,,
,,▲,コンビニ（経営者）,・コンビニを複数経営しているが、季節指数として７～８月の売上が一番高く、９月は10％程度落ちる。８月は前年よりも気温が高く、本来なら前年より売上も上がるはずだが、近隣にコンビニがたくさんあり、なかなか伸びないのが実情である。,,
,,▲,衣料品専門店（経営者）,・前年９月から、プレミアム付商品券の発行で売上が伸びたが、今年はよほどイベントに力を入れないと厳しい。,,
,,▲,衣料品専門店（店長）,・若年層のモノ離れが顕著である。ファッション性商材よりも実用衣料中心になってきており、無駄な物は買わない。,,
,,▲,衣料品専門店（営業担当）,・アパレルだけではなく、個人商店は先の見えないトンネルから出ることが出来ない状況が続いている。これからますます廃業や倒産が増えてくると他の店主とも話をしている。,,
,,▲,乗用車販売店（渉外担当）,・新車登録は受注残があり、前年並みに推移しているものの、受注の絶対量は少ない。,,
,東京都,▲,その他専門店［貴金属］（経営企画担当）,・積極的な消費意欲がみられない。選挙やリオデジャネイロオリンピックが終わったが、消費に目が向く要因が見当たらない。このまま来客数の減少が始まれば、客単価の低下と共に売上高は伸び悩む(東京都)。,,
,,▲,その他小売［ショッピングセンター］（統括）,・先行きの不安感がぬぐえないため、財布のひもを固くしているようである。,,
,東京都,▲,一般レストラン（経営者）,・お盆の行楽地は比較的混んでいたようだが、当地のお盆時期の様子は以前よりも厳しくなっている。イベントにはお金を使うが、普段の消費はぐっと抑えているようである。また、アメリカ大統領選や都知事の交代、いろいろな政務調査費等の疑惑が報道され始めると、みんながお金を使わなくなるという流れになっているような気がする(東京都)。,,
,,▲,一般レストラン（経営者）,・当地では、景気が良くなっているとは全く感じられない。逆に、飲食の機会が減り、今後も日本が良くなる気がしない。ますますデフレスパイラルにはまっていくような気がする。,,
,,▲,一般レストラン（経営者）,・為替が円高基調で長くとどまっており、それに関連してインバウンドや爆買いが減少傾向にある。８月の消費時期に、台風が頻繁に上陸している。アメリカの利上げがあっても織り込み済で、急激な円安、株高につながるとは思えない。,,
,東京都,▲,その他飲食［給食・レストラン］（役員）,・円高の進行が止まらず、政府の諸施策の効果が顕著には奏功していない。世界的な準不況に陥ることも予想され、景気回復を見込みにくい(東京都)。,,
,東京都,▲,旅行代理店（従業員）,・企業利益が減ったためか、客からの問い合わせが減っている(東京都)。,,
,東京都,▲,旅行代理店（従業員）,・北海道の台風被害によっては、客の敬遠が懸念されるため(東京都)。,,
,東京都,▲,通信会社（経営者）,・他社携帯電話を軸にした当社インターネット解約は、今後も大きい上振れが見込まれており、純増未達の継続が、売上を大きく押し下げる(東京都)。,,
,東京都,▲,通信会社（営業担当）,・営業担当者の地域への訪問は複数回済んでおり、現状、未契約の方は、成約にはなりにくいと考える(東京都)。,,
,,▲,通信会社（管理担当）,・通信業界の電力小売が一段落し、今後は能動的な獲得による競合他社間の客の取り込みが激化し、５％程度の切替率からの引上げを予想する。,,
,東京都,▲,通信会社（総務担当）,・異常気象等の影響が農作物の価格に反映し、引き続き景気はやや悪くなる(東京都)。,,
,,▲,ゴルフ場（従業員）,・高齢化が更に進み、将来社会がどのようになっていくのかという不安が解消されなければ、景気回復にはつながらない。,,
,,▲,ゴルフ場（支配人）,・実質所得が下降気味と感じている客が増えているようで、プレー費に対する値引き要請も多くなっているので、現状からは若干悪くなる。,,
,東京都,▲,パチンコ店（経営者）,・長い目で見れば業界にとって良いことかもしれないが、現状の高射幸性遊技機というギャンブル性の強い機械を、期間を決めて外し、入替えをしている。新しい機械は以前に比べて、面白味に欠けるギャンブル性の少ない機械のため、ある期間は売上が上がらない。同じように客が入っても売上は落ち、やや悪くなる(東京都)。,,
,,▲,その他サービス［学習塾］（経営者）,・通塾人数がどんどん減ってきている。また今夏の講習は、塾業界全体の傾向として体験日数を増やしており、実質値下げである。子供が減っているなか、生徒数は減少し続け、悪くなる。,,
,,▲,設計事務所（経営者）,・行政案件の入札では、なかなか仕事が取れない。低価格入札の禁止と言いながら、募集案件自体が低価格だが、仕事の欲しい業者が殺到しており、失格者も多くなっている。当社としても、何か浮付いた夏の終わり、選挙の終わり、リオデジャネイロオリンピックの終わりが響いている。いまだ模索する内容が見付からない。,,
,東京都,▲,設計事務所（所長）,・新規物件の開拓も考えてはいるが、民間主体のためか、全体的に動きが弱く、前へ進む気配がない(東京都)。,,
,,▲,設計事務所（所長）,・現状、仕事量は少ないが、新築物件等も非常に少なくなっている。今後の見通しは、地元の建設業者、市外業者など全体の状況からも難しい。,,
,,▲,住宅販売会社（従業員）,・今月の売上が非常に良かったため、その反動が２～３か月後に出るのではないか。,,
,,▲,その他住宅［住宅管理・リフォーム］（経営者）,・新規物件がほとんどない。小さな工事ばかりの状況で先行きは非常に厳しい。そういう意味で今後は大変だと思っている。,,
,,×,一般小売店［食料雑貨］（経営者）,・駅ビルの増床オープンで、駅近でも客の流れがなくなっている。,,
,東京都,×,コンビニ（経営者）,・客の財布のひもは非常に固い(東京都)。,,
,,×,住宅販売会社（経営者）,・大企業の景気はすでに回復しているようだが、中小企業が良くないために、一般サラリーマンは将来に不安があり、ローンを利用して住宅を買うことができない。早く中小企業の景気が回復するような対策等をとらないと、景気は一層悪化していく。,,
"企業
動向
関連

(南関東)",,◎,建設業（従業員）,・見積をしていた物件が決まっている。,,
,,○,食料品製造業（経営者）,・大口の特別注文が入っており、売上、資金繰り共に良くなりそうである。,,
,東京都,○,出版・印刷・同関連産業（経営者）,・例年10月以降受注量が増え、当社は繁忙期に入る(東京都)。,,
,東京都,○,税理士,・アメリカの景気が少し良くなってきている一方、３～４年前は非常に景気が良かった中国の現状は、いつバブルが弾けるか分からない状態で、両極端である。アメリカが良くて中国は悪い。国内景気はアベノミクスがけん引し、新都知事によって活性化されるのではないか。景気は政治主導で持ち上げられ、少し良くなっていく(東京都)。,,
