,,□,窯業・土石製品製造業（総務担当）,・季節的要因、夏枯れが影響している。,,,
,,□,金属製品製造業（経営者）,・発注担当者から、余り変わらないといわれている。,,,
,,□,一般機械器具製造業（経営者）,・油圧建機、自動車、ロボット分野等、幅広い業界で高水準の受注残があり、まだしばらくは、忙しい状況が続く見込みである。,,,
,,□,輸送用機械器具製造業（経営者）,・この２～３か月はまずまずで、取引先、受注、販売の動きも余り変わらない。今後も変わらず推移するとみている。,,,
,,□,輸送用機械器具製造業（経営者）,・米国の関税問題次第である。,,,
,,□,その他製造業［消防用品］（営業担当）,・しばらくはこのまま推移するとみている。,,,
,,□,輸送業（営業担当）,・秋に向かい、季節商材の衣類や寝具、また、エクステリア、草刈り機などの輸送依頼は、前年並みに確保の予定である。しかし、現状の車両不足や燃料費の高騰も続きそうなので、利益確保は難しくなりそうである。,,,
,,□,通信業（経営者）,・変わる要素がない。,,,
,,□,司法書士,・現時点で、この先大きな変化がみられる兆候はないので、変わらない。,,,
,,□,社会保険労務士,・10月に最低賃金が800円を超える予定のため、一部ではあるものの、賃上げを迫られる事業所が出てくるとみているが、大きくは変わらない。,,,
,,▲,食料品製造業（経営者）,・日本経済が来年から悪くなるという話が多くなっている。,,,
,,▲,不動産業（管理担当）,・取引先の管理経費の削減により、契約減額を求められているため、売上悪化が予想される。,,,
,,▲,広告代理店（営業担当）,・例年、秋の販促広告の出稿は下がる傾向のため、やや悪くなる。,,,
,,×,電気機械器具製造業（経営者）,・新規取引先の生産動向が現状、はっきりしておらず、具体的な動きが不鮮明である。,,,
"雇用
関連

(北関東)",,◎,－,－,,,
,,○,人材派遣会社（経営者）,・現状、仕事がやや忙しく、これから売上が上がる。,,,
,,○,人材派遣会社（管理担当）,・求職者が少なくなり、派遣単価が上がる予定である。単価が上がれば、求職者が増えて派遣人数も増加すると予測している。,,,
,,○,職業安定所（職員）,・東京オリンピック等もあるので、今後もこの景気がまだまだ続く。,,,
,,○,学校［専門学校］（副校長）,・例年に比べて、企業から求職者の状況を確認されることが多くなっている。また、企業から学校への個別訪問の機会も増えてきている。各企業が人材を集めるのに苦労している現状がよく分かる。,,,
,,□,人材派遣会社（経営者）,・お中元、夏休み時期の学生アルバイト、パートの募集に、多少動きはみられた。今後も、継続的な募集と採用は変わらず、同じような状況とみられる。建設関連、小売販売、生鮮食品等の生産は、集中豪雨等での被災の影響が多少みられるが、伸びていく。,,,
,,□,人材派遣会社（社員）,・求人数があっても求職者側の要求も高くなっており、企業側で募集条件の見直しがないと、採用は改善しない。,,,
,,□,職業安定所（職員）,・新規求人数及び有効求人数を前年度と比べてみても、ほとんど変化はみられない。有効求人倍率については求職者数が減少しているため、改善している。,,,
,,□,職業安定所（職員）,・有効求人倍率は平成29年５月以降、２倍前後で推移しており、大きな変動はない。,,,
,,▲,＊,＊,,,
,,×,－,－,,,
,,,,,,,
　４．南関東（地域別調査機関：株式会社日本経済研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(南関東)",,◎,スーパー（経営者）,・最近インターネット上での業務効率化サービスの価格が安くなっているので、今後はそういった技術も利用して、良くなるようサービスを提供していければと考えている。,,,
,東京都,◎,家電量販店（店長）,・来年の消費税再増税による影響が、３か月後あたりから少しずつ出る（東京都）。,,,
,東京都,◎,その他飲食［給食・レストラン］（役員）,・この先２～３か月は新規需要が旺盛な流れは変わらない（東京都）。,,,
,東京都,◎,観光名所（職員）,・２～３か月後になると秋のトップシーズンで、今月よりかなり良くなると期待している（東京都）。,,,
,,○,一般小売店［家電］（経理担当）,・エアコンなど工事が付随する電気製品は、当店のような街の電気店に来店する客も増えていく。,,,
,東京都,○,一般小売店［家具］（経営者）,・８月でこれだけ悪いのであれば、これ以上悪くなることはない（東京都）。,,,
,東京都,○,一般小売店［生花］（店員）,・今月はとにかく暑い日が続いたので、それに比べたら少しは良くなるのではないか。良くならないと本当に困るので、期待している（東京都）。,,,
,,○,一般小売店［文具］（販売企画担当）,・既に数か月先の外商の大きな物件、工事、その他の契約等が入っており、それ以降も、客からの見積依頼等が現在多く来ていることを踏まえると、今後も良くなっていくのではないか。店頭売りも、最近訪日外国人客がますます増えているため、対応施策を考えており、うまくいけば店頭売上もまた伸びると見込んでいる。,,,
,,○,百貨店（総務担当）,・近隣商業施設の業態転換に伴い、新規客の来店が見込まれ、婦人衣料を始めとする秋冬物商材の底上げが期待できる。,,,
,東京都,○,百貨店（営業担当）,・台風や大雨など天候要素で消費マインドが低下しているが、秋冬物商戦がスタートし、気温の低下も望めることから、商品購買につながるとみている（東京都）。,,,
,東京都,○,百貨店（営業担当）,・猛暑が終わり、天候が落ち着く頃には、国内富裕層の消費マインドの復活が期待できる。また、米中貿易摩擦の影響が懸念されるものの、中国を中心としたインバウンド客の売上も、８月は前年比108％と、今後も底堅く推移することが予想される（東京都）。,,,
,,○,コンビニ（経営者）,・競合店のオープンから１年が経過して、前年並みに回復し、上向きになる。,,,
,東京都,○,コンビニ（エリア担当）,・たばこ増税による駆け込み需要が見込めるため、売上高は瞬間的に回復する見込みである（東京都）。,,,
,東京都,○,コンビニ（商品開発担当）,・残暑に期待している（東京都）。,,,
,,○,衣料品専門店（統括）,・秋物需要と来年の消費税再増税に対する客のまとめ買いが予想される。,,,
,,○,衣料品専門店（役員）,・気温が低くなれば、それなりに秋物商材も動く。,,,
,東京都,○,家電量販店（経営企画担当）,・秋になれば、酷暑、猛暑による消費ダメージが軽減され、売上も正常値に戻るとみている（東京都）。,,,
,,○,乗用車販売店（営業担当）,・半期の決算を迎えるため、期待を込めている。,,,
,東京都,○,乗用車販売店（販売担当）,・建設、食品、自動車など日本の主産業で人材不足であることから、様々な面での消費が今まで以上に伸びてきている。2020年を頂点として、今後１年～１年半、景気は上向き傾向にある（東京都）。,,,
,,○,乗用車販売店（店長）,・客の購入意思が強くなっているので、今後に期待している。,,,
,,○,乗用車販売店（総務担当）,・客の購入意欲が続く。,,,
,東京都,○,住関連専門店（営業担当）,・リフォーム市場自体が従前より堅調なことに加え、全体的な景気動向も回復傾向にある。消費者のリフォームへの関心、投資意欲が高い状態は今後も続く（東京都）。,,,
,東京都,○,その他専門店［貴金属］（統括）,・日々の売上が順調に推移しているので、不安定な天候が影響しなければ良くなる（東京都）。,,,
,東京都,○,その他小売［ゲーム］（開発戦略担当）,・年末から年明けに大型タイトル発売が集中するため、盛り上がりが予測される（東京都）。,,,
,東京都,○,高級レストラン（役員）,・先行きの予約状況からも、気温の高い時期が過ぎれば、客足が戻ってくると予想している（東京都）。,,,
,,○,一般レストラン（経営者）,・８月が年間で一番暇な時期なので、実際に売上もかなり悪い。これ以上悪くならないと思うので、２～３か月先の景気は良くなる。売上も、８月の２割増しくらいになる。10～11月は、パーティーも８月よりはずっと多くなる。,,,
,東京都,○,一般レストラン（経営者）,・今月は天候の影響があったので、これからは今月より天候が良くなることを期待している（東京都）。,,,
,,○,一般レストラン（経営者）,・現状が悪いので、これ以上景気が悪くなったら外食産業は終わりである。,,,
,東京都,○,一般レストラン（経営者）,・９月は例年予約の数も少なく、売上が落ちるが、秋になって商店街でいろいろなイベントなどが行われると、客も流れてくると期待できる。来客数を増やしていけたら良いと思っている（東京都）。,,,
,東京都,○,一般レストラン（経営者）,・値上げの影響が出ているように思うが、単価がまだ伸びているので、もう少し良くなる。来客数が減りそうな予測もあるため、影響については不安が残る（東京都）。,,,
,東京都,○,その他飲食［居酒屋］（経営者）,・飲食店街の人出が増えている（東京都）。,,,
,,○,旅行代理店（従業員）,・秋は販売数が増加するので見込みがある。,,,
,,○,旅行代理店（営業担当）,・秋になり気候も涼しくなると、旅行需要が伸びると予想される。,,,
,東京都,○,旅行代理店（営業担当）,・客との会話で社員旅行復活の話なども出始めており、急激に良くなるとは思わないが、ゆっくりと上向いている（東京都）。,,,
,東京都,○,タクシー運転手,・気温上昇を受け、エアコンなどの生活家電や、衣料品、飲料、食品の売上が増加している。外食では、客単価の上昇持続に加え、来客数も増加に転じるなど、サービス消費も好調である。先行きは、天候要因などで上下に振れやすくなっているものの、雇用、所得環境が改善していくことから、個人消費は緩やかな持ち直しが続く（東京都）。,,,
,,○,タクシー運転手,・昼、夜と動きの良い日が続いている。ロングの客もやや増えており、１日平均して利用が増えてきている。30度超えの日が長く続いていることも影響しているようである。やや良い方向へ向かうと期待できそうである。,,,
,東京都,○,通信会社（経営者）,・ケーブルテレビの解約件数が減少している（東京都）。,,,
,,○,通信会社（管理担当）,・事業者変更が進まない電力小売が活性化することを期待している。通信会社と関連する小売業者について、９月の人気スマートフォンの新型端末発表のタイミングとともに、新たな消費活動が生まれる。,,,
,東京都,○,通信会社（経営企画担当）,・下半期での案件が増加し、やや良くなる（東京都）。,,,
,,○,ゴルフ場（経営者）,・季節的なものと暑さが落ち着くため、やや良くなる。,,,
,,○,ゴルフ場（企画担当）,・３か月先の予約が90％くらい埋まっている。,,,
,,○,その他サービス［立体駐車場］（経営者）,・閉店した大型商業施設の解体工事も少しずつ始まっている。また、近隣にマンションができつつあるので、駐車が増えてきている。,,,
,,○,設計事務所（経営者）,・全体の設計量は減っているが、行政の仕事が大変忙しくなっている。現在も業務量がやや増加気味だが、年末にかけて受注が見込まれる設計量が大変多いため、人員不足が最も気になっている。これをいかに解消するかによって変わってくるのではないか。一般の設計をより受注できるように営業と共に頑張っているが、まずは人員を増やすべく全員で頑張っている。,,,
,,○,住宅販売会社（従業員）,・気候も良くなり、年末、年度末に向かい客の動きが出てくる。消費税再増税前の駆け込みは思っていたほどの動きがなく、景気が劇的に良くなるところまではいかない。,,,
,,□,商店街（代表者）,・毎日が暑く、通行量並びに来客数も減っている。客に対するサービスは十分していると思うが、思うように売上につながってない。今月は非常に厳しい状況が続いている。,,,
,東京都,□,商店街（代表者）,・低調基調はしばらく続くような気がしている。天候の不安定さも大いに影響している。夏の暑さや冬の寒さ、日差し、降雨、どれも好況には必要であるが、暑過ぎるなどの「過ぎる」が景気に悪い影響を与えている。この夏は暑さと豪雨が響いて、この先も不安定な天候が心配である（東京都）。,,,
,,□,一般小売店［家電］（経理担当）,・テレビはいよいよ４Ｋ放送が始まるので、それなりに動きはある。ＬＥＤ照明の大キャンペーンがあるので、それに期待したい。,,,
,,□,一般小売店［印章］（経営者）,・客の購買状況が昔と変わってきている。需要が少なくなっているが、これ以上売上が低迷すると、商売の撤収について真剣に判断しなくてはならないほどである。,,,
,東京都,□,一般小売店［文房具］（経営者）,・新学期の学童用品の需要や、年末に向けてカレンダーやダイアリーなどの季節商材も入荷してくる（東京都）。,,,
,,□,一般小売店［傘］（店長）,・良くも悪くもなく、閉塞している感じがする。政治も変わりそうになく、米国をはじめとして経済にも不透明感があり、末端の購買意欲が向上する要素が余り見当たらない。,,,
,,□,一般小売店［茶］（営業担当）,・新規客の開拓もなかなか進んでおらず、あとは何とか外国人などのお茶ブームでも来ることを神頼みするばかりである（東京都）。,,,
,,□,百貨店（売場主任）,・現状の良い状態が継続すると予測するものの、秋物は天候に大きく左右されるため、不安要素もある。秋は、催事で動員につながる企画を前年以上に計画しており、気温が平年並みであれば、現状の順調な状況が継続するとみている。,,,
,東京都,□,百貨店（売場主任）,・来月のリニューアルオープン時にはかなり景気が乗ってくると思うが、基本的な強さや市況については今までどおりで、さほど大きく変わらないのではないか。特に、まだ暑いなかでは、食料品の消費はそれほどプラスに働かない（東京都）。,,,
,東京都,□,百貨店（広報担当）,・高額品を中心とした高付加価値商品への支持は引き続き伸長する一方で、中間価格帯のアイテムへの関心は足踏みすると思われる。また、前年から好調だったインバウンド売上の伸長率も、やや鈍化が見込まれる（東京都）。,,,
,東京都,□,百貨店（営業担当）,・酷暑による外出を控える動きは一段落し、来客数は戻ると予測しているが、最近の客単価の下落からみて、大きく伸びることは難しい。インバウンド需要に支えられている反面、来客数減が全体の売上に影響する傾向はしばらく続く（東京都）。,,,
,東京都,□,百貨店（営業担当）,・天候の影響が懸念される。秋物への展開準備の中、前年以上の残暑が続くとの長期予報が既に発表されているが、その影響を払拭するような材料は見当たらない（東京都）。,,,
,東京都,□,百貨店（販売促進担当）,・いまだ主力である衣料品の回復がみられないなかで、売上を支えているのは、高額品及び訪日外国人客による売上と、不確定要素が多く、先行きを見通すことが難しい状況にある（東京都）。,,,
,東京都,□,百貨店（販売促進担当）,・猛暑の反動はあるものの、働き方改革、ボーナスの影響もあり、秋物商材への消費者の関心は高い（東京都）。,,,
,,□,百貨店（販売促進担当）,・競合店の閉店による好影響を受けているアイテムや、猛暑対応によりシーズンアイテムが売上を伸ばしている。前月まで動きの悪かった宝飾や時計等の高額品に復調気配があるものの、大きく伸張する要素は考えられず、変わらない。,,,
,東京都,□,百貨店（販売促進担当）,・天災等の要因がなければ、大きな変化はない（東京都）。,,,
,,□,百貨店（店長）,・米中の貿易戦争や不安定な株価などに出口が見えれば、もう少し明るさが見えてくる。,,,
,,□,百貨店（副店長）,・引き続き安定的な消費推移であると感じているが、天候などが売上に大きく影響する部分もある。先行きが不透明な状態が長らく続いている。,,,
,東京都,□,百貨店（営業企画担当）,・訪日外国人の販売状況が回復するかが鍵である（東京都）。,,,
,東京都,□,百貨店（計画管理担当）,・春先以降、前年に対するトレンドがマイナス基調で推移していることから、急激に回復するとは考えにくい（東京都）。,,,
,東京都,□,スーパー（販売担当）,・競合との価格競争もあり、依然として主力商品の平均単価は下がる傾向にある。客の買上点数は前年を上回るようになってきているが、平均単価が下がっている分、客の１回当たりの買上金額がなかなか前年に届かない状況が続いている（東京都）。,,,
,,□,スーパー（経営者）,・来客数がなかなか前年まで回復しないことが一番の大きな原因で、余り良くない方向が続いている。天候が変わらなければ、やや前年を割るような感じなので、同じような状況が続く。,,,
,,□,スーパー（店長）,・３か月後の景気はやや良くなると回答したいが、外的要因が変化しないなかで、前月、今月の客の動向を見ている限り、変わらないと予測される。数字についても、大まかな予測値では今と変わらない。,,,
,東京都,□,スーパー（店長）,・消費者には節約志向が依然として根付いており、価格に敏感に反応しているにもかかわらず販売数に変化はなく、余分に買物をする余裕が感じられない（東京都）。,,,
,,□,スーパー（店長）,・来客数、取引店数共に横ばいもしくは下降気味である。売上を維持できるのは、単価施策のみとなっている。小売業で大切な来客数が減少し続ける限り、将来の景気回復は難しい。,,,
,,□,スーパー（総務担当）,・大手企業で夏のボーナスが過去最高額に近い形で出た割には、消費の部分では力強さが余り感じられない。モノよりも、旅行や思い出作りなどのコトにはお金をかけるが、今のところモノには余り積極的にお金を使う状況ではない。小売業が好景気を感じられるようになるのはまだ先である。,,,
,東京都,□,スーパー（営業担当）,・米国を中心とした貿易摩擦問題が、日本にとって徐々に景気の頭を押さえつけてきている感覚がある（東京都）。,,,
,,□,スーパー（販売促進担当）,・衣料品は、気温次第で売上への影響が大きい。秋物衣料から冬物衣料品への品ぞろえにシフトしていく。暑さが続けば、秋物衣料の早期値下げを実施して対応する。食品は、日々の気温に合わせて品ぞろえを変える。また、新商品の提案拡大の継続などにより、異常な気温に対する対策が必要だが、厳しい状況が続く。,,,
,,□,スーパー（仕入担当）,・高温の影響で青果物が高値となっており、消費が冷え込む懸念材料となっている。,,,
,東京都,□,コンビニ（経営者）,・猛暑にもかかわらず、客は消費に慎重な気がする（東京都）。,,,
,,□,コンビニ（経営者）,・高齢者向けの商品が今後も増加する一方で、一般家庭のコンビニ離れ、大型ディスカウントや通販へのシフトが進んでいる傾向が顕著になり、不透明な部分が増える。客の年齢層に変化が見え始めている。,,,
,,□,コンビニ（経営者）,・サラリーマンも我々もそうだが、大体景気が良い時と悪い時というのは、周りの景気が良ければそれにつられて消費するという傾向があるので、そういう意味からいっても、１～２か月後には良い方向に向くのではないか。,,,
,東京都,□,コンビニ（経営者）,・気温が早く下がり、秋の訪れが早くなれば尚更良い（東京都）。,,,
,,□,衣料品専門店（経営者）,・天候も大きな要因であるが、収入格差が広がっているため、買物を楽しむ様子がうかがえない。,,,
,,□,衣料品専門店（経営者）,・残暑が続く予想から、秋物より冬物衣料になる予想である。９～10月の売上は厳しい。,,,
,,□,衣料品専門店（経営者）,・例年８月は数字が動かないのだが、これから秋冬物シーズンに期待したい。環境的には、今のところまだ動きが鈍い。,,,
,東京都,□,衣料品専門店（店長）,・小売業全般でＥＣ売上の比重が高まっている。相変わらず、ＥＣ売上以上に店舗売上の落ち込みが大きく、店舗売上が高まる付加価値をいまだ確立できていない（東京都）。,,,
,,□,衣料品専門店（営業担当）,・主婦層をターゲットとした衣料品店を営んでいるが、売れなくなってきている。必要な物だけを購入し、他の物は前年の物を着て過ごすという光景がよく見受けられる。,,,
,,□,乗用車販売店（経営者）,・自動車の整備と販売をしている。整備は順調だが、販売は新型車が出たにもかかわらず、客の来場はあっても、なかなか契約に結び付いていない。,,,
,,□,乗用車販売店（経営者）,・引き続き新車販売は好調を維持するが、整備部門はそれほど伸びない。,,,
,,□,乗用車販売店（店長）,・景気が良さそうなところは一部だけである。,,,
,,□,乗用車販売店（渉外担当）,・環境が大きく変わらない限り、ほぼ現況どおりと考えている。,,,
,,□,その他専門店［ドラッグストア］（経営者）,・客の動きが何となく少ないような感じがするので、集客のためにチラシを出したりしているが、さほど変わらない。,,,
,東京都,□,その他小売［ショッピングセンター］（統括）,・消費税再増税まで１年を切ると、各メディアが取り上げる頻度も上がり、購買マインドも低下すると懸念している（東京都）。,,,
,,□,その他小売［ショッピングセンター］（統括）,・政治が不透明なため、変わらない。,,,
,,□,高級レストラン（経営者）,・予約状況を見るとマイナスが続きそうである。,,,
,東京都,□,高級レストラン（営業担当）,・各店の宴会利用、法人関連の予約状況の推移をみると、例年利用されている定例の宴会を中心に、前年同様で進んでいる（東京都）。,,,
,東京都,□,高級レストラン（仕入担当）,・先々の予約状況をみても前年とほぼ変わらず、大きな変化はない（東京都）。,,,
,東京都,□,一般レストラン（経営者）,・インバウンドもある一定数で定着し、他地域からの参入店も増加している。一見変化は見えないようだが、中長期的には大きく動きそうな気配である（東京都）。,,,
,,□,一般レストラン（経営者）,・３か月後も景気が上向くようなことは全くない。物価も人件費もますます上昇している。アルバイトの最低賃金も10月から上がり、中小企業の経営にはかなりの重荷になる。次から次へと規制が増えて、利益が出るような行政の体制にはなっていない。社会全般的に少しでも良くしてもらわないと本当に困る。,,,
,,□,一般レストラン（スタッフ）,・何かが変わるような具体的なものがない。,,,
,東京都,□,観光型旅館（スタッフ）,・東京オリンピックに向けた投資も一段落した感がある（東京都）。,,,
,,□,都市型ホテル（スタッフ）,・与党の総裁選挙の行方などにもよるが、景気はしばらく停滞したまま変わらない。,,,
,,□,都市型ホテル（スタッフ）,・先々の予約は余り活発には動いておらず、繁忙期に入るが予約が伸びていない。直近ではある程度の動きはあるものの、例年と比べて受注は減少傾向にある。近隣コンベンション施設での大型イベントも今年は少なく、関連案件の取り込みも期待できそうにない。,,,
,,□,旅行代理店（経営者）,・問合せは結構あるように感じたが、決定にはなかなか至らない。天候変動により二の足を踏んでいることが要因としてあると思うので、景気が良い方向に向いているとはいいかねる。,,,
,東京都,□,旅行代理店（従業員）,・単価が安く利益の少ない国内旅行が好調で、取扱人数が目標を大きく上回っても、利益の大きい海外旅行が不調のため、全体では目標金額を大きく下回る（東京都）。,,,
,東京都,□,旅行代理店（販売促進担当）,・２～３か月後は秋の旅行シーズンで、団体国内旅行が主力になるが、今現在の見通しでは思うように販売できていないため、変わらない（東京都）。,,,
,,□,タクシー運転手,・この頃は異常気象でかなり暑さが続いている。この暑さで世の中の不安がまた増しているため、客は増加せず、現状維持でとどまっている。,,,
,東京都,□,タクシー運転手,・９月になればまた少し変わると思うが、深夜帯の客自体は増える傾向にはないような気がする（東京都）。,,,
,東京都,□,タクシー運転手,・タクシーに関しては、世の中の好況感を感じない。訪日外国人が増えているという報道があるが、訪日外国人客の利用が特に増えているということもなく、暑さによる利用客の増加を感じるくらいである（東京都）。,,,
,,□,タクシー（団体役員）,・景気全般に活気が感じられない。,,,
,東京都,□,通信会社（経営者）,・夏の猛暑や豪雨の影響による食料品等生活必需品の価格高騰が懸念され、家計の見直しが想定される反面、12月から開始される高度ＢＳの４Ｋ、８Ｋ放送への期待もあり、差し引きで数値的に変化なしと予想する（東京都）。,,,
,,□,通信会社（営業担当）,・大幅に好転する材料が乏しく、現況がしばらく続いていく。,,,
,,□,通信会社（管理担当）,・今の下降傾向はしばらく続きそうな状況で、年末までは変動はない見込みである。,,,
,,□,通信会社（営業担当）,・各社共早期の囲い込みを急いでおり、有料チャンネルは動画や音声などのコンテンツサービスを提供する事業者であるオーバー・ザ・トップ（ＯＴＴ）、通信は携帯大手との激しい競争が今後も続く。,,,
,東京都,□,通信会社（局長）,・８月の甲子園の盛り上がりにもあるように、何かトリガーとなるようなソフトとそれを最大限発揮させるハードが出品されるタイミングが来ないと、消費者の購買意欲につながらない。したがって、まずは12月の４Ｋ本放送と４Ｋテレビ及びそのコンテンツが重要である（東京都）。,,,
,,□,通信会社（営業担当）,・良くなると思える材料がない。,,,
,東京都,□,通信会社（総務担当）,・猛暑等による農作物高騰は落ち着くと思うが、景気上昇の好材料が見当たらない（東京都）。,,,
,東京都,□,通信会社（営業担当）,・客がかなり慎重になっているので、価格を下げたり、大幅なサービス改善をしない限り、変化は余りないように思える（東京都）。,,,
,,□,通信会社（経理担当）,・放送、通信サービスは、家庭の通信費であり、使えれば問題ない範囲でグレードダウンして、できるだけ安くしようとする傾向が続いている。,,,
,東京都,□,パチンコ店（経営者）,・９月にパチンコの人気機種が出るので、パチンコはアップするものの、スロットは新しい機械が出てきても、新基準で人気がない。パチンコはそのような形で上がっているが、スロットは停滞気味なので、全体としては今と変わらない（東京都）。,,,
,,□,パチンコ店（経営者）,・全体的な景況感、また今後の好悪材料から判断すると、ほぼ横ばいで推移していく。,,,
,東京都,□,その他レジャー施設［総合］（経営企画担当）,・催事の招へいが堅調に推移している（東京都）。,,,
,,□,その他サービス［学習塾］（経営者）,・塾業界では依然として生徒数が減少しているため、生徒の取り合いになっている。授業料も据え置いて体験授業を長くしているため、人件費は上昇しているものの、景気が良くなっているのかは分からない。,,,
,東京都,□,その他サービス［福祉輸送］（経営者）,・変化が起きていないので、先行きも変わらない（東京都）。,,,
,,□,その他サービス［保険代理店］（経営者）,・客の増加が見込めるか、何か別の要因がない限り、販売量の増加は期待できない。,,,
,,□,その他サービス［学習塾］（経営者）,・身の回りでは景気に対する動きが何も感じられない。,,,
,,□,設計事務所（経営者）,・新しい仕事の相談は、今のところ入ってきていない。,,,
,,□,設計事務所（経営者）,・消費税再増税に今一つ現実味がなく、増税前の駆け込み需要も余り期待できそうにない。特に、住宅は空き家状況を見れば、新築よりもストック活用が理にかなっている。相変わらず、先行きが見えにくいが大きな変化はないとみている。,,,
,東京都,□,設計事務所（所長）,・建築は計画があってから入ってくるもので、現在のところ計画がないということは先の見通しも立たない（東京都）。,,,
,東京都,□,設計事務所（職員）,・相対的に既存ストック活用の動きが活発化してきているが、景気動向に影響するかは分からない（東京都）。,,,
,,□,住宅販売会社（従業員）,・来場者数や資料請求数は例年と変わらないか若干増えている。,,,
,,□,その他住宅［住宅管理・リフォーム］（経営者）,・春先の話で上向きになると思っていた話が、具体的になるまでに時間が掛かっており、足踏み状態である。,,,
,東京都,□,その他住宅［住宅資材］（営業）,・需要動向を見極めづらい状況である。突発案件が増えていることが一時的な仕事量の確保につながっている程度で、景気の底上げとはいえない（東京都）。,,,
,,▲,一般小売店［和菓子］（経営者）,・まだしばらく猛暑が続きそうな予報なので、消費は厳しいのではないか。,,,
,,▲,一般小売店［祭用品］（経営者）,・今と同じだけの需要は見込めない。,,,
,東京都,▲,一般小売店［家電］（経営者）,・夏商戦が終わり、主力商品が減少してしまうので、売上が減る（東京都）。,,,
,東京都,▲,一般小売店［米穀］（経営者）,・物流経費の値上げ等を聞いているので、秋以降利益が圧迫される。諸経費を乗せても客の動きが鈍るとみている（東京都）。,,,
,東京都,▲,百貨店（営業担当）,・前年は厳冬がコート需要に大きく寄与したが、今年は反動が出ると考えられる。百貨店で買うことへの抵抗感が大きいと感じる（東京都）。,,,
,東京都,▲,百貨店（販売促進担当）,・初秋は例年より厳しい残暑が予見されるため、秋物商戦の商機を逸して、冬物商戦待ちになってしまう恐れがある（東京都）。,,,
,東京都,▲,スーパー（経営者）,・競合店対策が落ち着くまで、しばらくの間は売上、粗利額が悪くなる見通しである（東京都）。,,,
,,▲,スーパー（経営者）,・最低賃金の上昇により会社経営がより難しくなり、コスト削減がますます進む可能性がある。,,,
,,▲,コンビニ（経営者）,・近隣のコンビニエンスストアが１店開店したため、伸び率はどんどん小さくなっていく。,,,
,,▲,コンビニ（経営者）,・競合店との競争もあるし、現状では消費者の購買意欲は低いので、将来的にも余り良くなるとは思えない。,,,
,,▲,コンビニ（経営者）,・猛暑で野菜類が高くなっているので、値上げまではいかないまでも、値上げに近く、今まで買ってくれていたような物も数が減っている。,,,
,,▲,コンビニ（経営者）,・季節指数があると思うが、コンビニは夏より秋のほうが来客数が落ちる。特に夜の来客数が落ちていく。また、ソフトドリンクが売れなくなるので、売上的にも落ちていくと思われ、景気は悪くなっていく。,,,
,,▲,住関連専門店（統括）,・政局はまだ安定していないので、今後も買い控えが続くのではないか。,,,
,,▲,その他専門店［ドラッグストア］（経営者）,・競合店の出店により、来客数の減少が見込まれる。,,,
,東京都,▲,一般レストラン（経営者）,・いよいよ与党の総裁選挙が始まり、しばらくこう着状態になる。新しい経済対策が打たれるかどうかも関心の的であるし、米国と北朝鮮の問題なども含めて全般的に非核化がされないと、当店の売上も上がっていかないような感じがする（東京都）。,,,
,,▲,一般レストラン（経営者）,・飲食業の売上は前年より良いが、これは店舗を増床したからで、想定の範囲内である。食品輸入卸業務の売上は、前年に比べて下降が続いている。季節要因を考えると、通常８月は売上が伸びるはずだが、今期は減少している。今後は、トルコのリラ急落やベネズエラの通貨切下げ等、相対的な流通ボリュームは小さくとも、少なからず混乱が起き、異常気象と災害に起因する世界経済の混乱が続き、悪化するのではないか。アグレッシブな米国政権の政策のボラティリティの影響は大きい。,,,
,,▲,都市型ホテル（スタッフ）,・10月は行楽シーズンとなるが、夏季シーズンに比べると販売量は落ちる見込みである。,,,
,東京都,▲,通信会社（管理担当）,・個人向けの携帯電話販売は冬期商戦まで一旦落ち込む。法人企業向けの情報通信インフラに関しては、ＩＴ導入補助金第３弾を有効活用し、中堅中小企業の需要が高まると予測しているが、需要に結び付くのに時間を要する（東京都）。,,,
,,▲,ゴルフ場（従業員）,・景気が良いところとそうでないところがはっきり分かれている。国の機関が障害者雇用を水増し申告するような日本が、どう良くなるというのだろうか。,,,
,,▲,競輪場（職員）,・全体的な傾向として、客の世代交代ができていないため、じりじりと落ちつつある。,,,
,東京都,▲,その他サービス［電力］（経営者）,・７月の首都圏マンション販売戸数は26年ぶりの低水準となっており、先行きが懸念される（東京都）。,,,
,,▲,設計事務所（所長）,・まとまった仕事がなかなかないのが現状である。建築は改修、耐震補強等が非常に多くなっている。,,,
,,▲,住宅販売会社（経営者）,・住宅の売行きが改善されない限りは、景気は良くならない。住宅が売れると経済波及効果も大きく、個人消費の回復にもつながる。,,,
,,▲,住宅販売会社（従業員）,・現状も余り良い方向に推移していないが、この先良くなるという情報も入ってきていない。今後も若干下降気味で推移していく。,,,
,,▲,住宅販売会社（従業員）,・アパート工事請負契約の落ち込みによる影響が懸念される。,,,
,,×,一般小売店［茶］（経営者）,・今の悪い状態はしばらく続く。,,,
,,×,一般小売店［食料雑貨］（経営者）,・店舗過剰である。,,,
,,×,衣料品専門店（店長）,・販売数量、来客数、単価いずれも下降傾向にあり、下げ止まる兆しがみられない。,,,
