,,○,人材派遣会社（社員）,・特に専門職の採用は動きが良く、条件を満たす求職者を確保できれば支援数の増加につながる。ただし、求職者の動きに左右されるというリスクもある。,,,
,,□,人材派遣会社（経営者）,・当地では米国の関税政策の影響を目の当たりにすることは余りなく、景気がやや良い状態から下がる様子はみられない。求人においては、採用しづらい状況がしばらく続くとみている。,,,
,,□,人材派遣会社（社員）,・一部のエリアにおいては良化傾向がみられるものの、この先も続く見通しは立っていない。,,,
,,□,人材派遣会社（社員）,・求人状況や求職者の動きに変化はみられない。,,,
,,□,新聞社［求人広告］（担当者）,・広告に少しずつ動きが出ているが、景気は当面変わらないとみている。,,,
,,□,職業安定所（職員）,・物価高の不安と影響がなくならなければ消費拡大の期待は持てず、求人にもつながらないとみている。,,,
,,□,職業安定所（職員）,・新規求人数の推移から、有効求人数は前年と同程度で推移する見込みである。,,,
,,□,職業安定所（職員）,・人手不足感のある状況が続いている。しかし、求人をやめる事業所も出てきており、様子見の状況がうかがえる。,,,
,,□,学校［専門学校］,・諸外国の情勢から大きな期待はできない。,,,
,,□,その他雇用の動向を把握できる者,・物価高が続く限り現状は変わらない。,,,
,,▲,人材派遣会社（社員）,・米国の経済政策の影響が見通せず、特に輸出の比重が高い企業に停滞感が出てくるとみている。,,,
,,▲,アウトソーシング企業（経営者）,・ＡＩの進化による仕事量の減少が予想される。,,,
,,▲,新聞社［求人広告］（担当者）,・物価高騰に歯止めがかからず、企業経営も更に悪くなることが予想される。,,,
,,×,＊,＊,,,
,,,,,,,
　３．北関東（地域別調査機関：株式会社日本経済研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(北関東)",,◎,－,－,,,
,,○,一般小売店［酒類］（経営者）,・お中元用品の販売が見込めるため、やや良くなる。,,,
,,○,コンビニ（エリア担当）,・値上げの影響がまだ続くため、景気はやや良くなる。,,,
,,○,コンビニ（エリア担当）,・食料品などの値上げはあるものの、観光地に近い店舗では前年実績からの落ち込み幅が小さく、懸念事項とまではいえない。来客数は順調に増加しており、増収の条件は整っている。夏のボーナス支給も控えているため、やや良くなる。,,,
,,○,家電量販店（店員）,・このまま気温が上昇し猛暑となれば、季節商材は好調となり、景気は上向く。,,,
,,○,一般レストラン［居酒屋］（経営者）,・米や野菜の価格が安定して、早い夏の訪れと猛暑で、ビール消費が増え、提供側も安価で多彩な夏メニュー提案ができ、消費量が多少増えることを期待している。,,,
,,○,都市型ホテル（経営者）,・物価高騰の影響があり、販売量が増えても新型コロナウイルス感染症発生前の利益率より悪化している。販売量は徐々に回復傾向にあるものの、景気が良くなるといえるかどうかは分からない。,,,
,,○,旅行代理店（従業員）,・お金はあるところにはあるので、グループ全体でみれば良くなる。,,,
,,○,タクシー（経営者）,・３～５月にかけて売上が良くなっているため、この先も良くなるとみている。,,,
,,□,商店街（代表者）,・外商に方向性を切り替えて成果がみえてきているため、先行きは明るくなるようにみえているが、不安もある。,,,
,,□,一般小売店［精肉］（経営者）,・前月も今月もほとんど変わらない。備蓄米の古古米が放出されるが、その前に出荷されている米価が少しでも下がるようになれば、安心感が出て少しは元気になるかとみている。,,,
,,□,一般小売店［土産］（経営者）,・例年、桜の時期が終わると減少する外国人観光客数が減っていないのは、大阪・関西万博が開催されているためと考えている。外国人観光客の購買意欲は堅調で、国内観光客の消費も、比較的若年層では購入が増えている。外国人観光客の傾向は大阪・関西万博終了まで続くと予想されるため、変わらない。,,,
,,□,百貨店（営業担当）,・値上げや米価高騰の不安はなかなか払拭できず、購買を控える傾向は変わらない。ただし、今年も猛暑予報のため、快眠グッズや涼感商材等の購買には期待できる面もある。堅実な購買動向は変わらず続くものとみられる。,,,
,,□,百貨店（店長）,・国際情勢に加えて物価高の影響は大きく、客の消費に対する慎重な様子は変わらない。,,,
,,□,スーパー（総務担当）,・今後は米価が安定する等、条件が整えば景気回復につながると考える。,,,
,,□,コンビニ（店長）,・商圏内の有力店の廃業から１年が経過したため、来客数は変わらない。,,,
,,□,家電量販店（営業担当）,・今夏は暑くなるとの長期予報が出たため、冷房関連の取組を強化している。商材や業者の確保はできている。接客での単価アップ、関連商材の案内を徹底していく予定である。,,,
,,□,乗用車販売店（経営者）,・当地域の自動車メーカーは、米国への輸出が減少した分を国内需要に回しており、納期が改善されてきて、生産も順調である。,,,
,,□,乗用車販売店（従業員）,・受注は堅調にあるものの、受注残は減少傾向が続いている。,,,
,,□,自動車備品販売店（経営者）,・ガソリン等の補助金が多少出たことで、少し明るい兆しがみえて、客の動きが多くなってきている。前向きの条件が整ってくると、人の動きは良くなる。ただし、世の中の先行きに対する不安があるため、どうしても財布のひもは固くなり、縮小傾向にある。これらを差し引いて、現状維持に近い状態ではないかと考える。,,,
,,□,住関連専門店（店長）,・良くなる要素がない。,,,
,,□,その他専門店（総務担当）,・先の受注が少ない状況は変わらない。,,,
,,□,一般レストラン（経営者）,・例年、この時期は横ばいである。,,,
,,□,その他飲食［給食・レストラン］（総務）,・給食部門の運営を続けるには、今後も人材を維持、獲得していくことが不可欠である。しかし、従来からの求人広告では効果がなくなっており、短時間労働者、人材紹介、外国人雇用等、採用の多様化を進めていくことがますます重要になっていく。,,,
,,□,観光型ホテル（経営者）,・このまま社会情勢が不安定と皆が感じる状況が続けば、国内旅行需要は更に減っていく。,,,
,,□,旅行代理店（経営者）,・販売量は減るものの、単価が上がるため、変わらない。,,,
,,□,旅行代理店（所長）,・国内の個人や団体客の伸びは弱含みだが、インバウンド先行で進むことが予想される。,,,
,,□,旅行代理店（営業担当）,・大阪・関西万博の影響か来客数は減少している。一現場での景気状況は悪化しているが、業界全体としては好調といえる。,,,
,,□,タクシー運転手,・良くも悪くもほとんど変わらない。,,,
,,□,通信会社（社員）,・現状では変わらないと考えるが、近い将来、悪化傾向になると懸念している。,,,
,,□,通信会社（営業担当）,・７月に予定している参議院議員選挙を見越した、政権政党の景気刺激策や減税等の具体的な対策が打たれない限り、社会情勢の影響から、現状より良くなる要素はない。,,,
,,□,ゴルフ練習場（経営者）,・依然として、ガソリン代や食品価格が高止まりしている。,,,
,,□,住宅販売会社（経営者）,・いまだ貸家の空きが目立っており、店舗等もシャッターが下りている店がかなり増えている。景気が良くなるような要素はない。,,,
,,□,その他住宅［住宅管理・リフォーム］（営業）,・新年度に入ってからは例年とほぼ同様の依頼件数で推移しており、今後も同様の状況になるとみている。,,,
,,▲,商店街（代表者）,・中心街に近い橋の架け替え作業が半年前から開始され、今後３年間通行止めが続くため、集客に多大な影響を及ぼす。,,,
,,▲,百貨店（営業担当）,・物価高の継続に伴う消費マインドの低下はしばらく続く。景況が改善する要因は見当たらない。,,,
,,▲,スーパー（商品部担当）,・物価高の影響が収まるとは考えにくく、買い控えの傾向は続く。,,,
,,▲,衣料品専門店（販売担当）,・食料品を始めとした物価高では、特に、生活必需品が相当高値を付けている。今、大騒ぎになっている米価高騰の問題もなかなか収束しそうにないが、皆が価格高騰に慣れることはない。現状の物価高がある程度収まってこない限りは、当店の顧客に動きは出てこないとみている。,,,
,,▲,都市型ホテル（スタッフ）,・総会シーズンから夏場にかけての入込が前年と比べて弱い。件数もそうだが、１件当たりの人数が減少しており、企業や団体の集まりが少なくなっていることを実感している。,,,
,,▲,通信会社（経営者）,・長期の円安で、延々と続いていた仕入コストの増加は一旦歯止めがかかりそうである。ただし、値下がりしているわけではないのでコスト高に変わりはない。備蓄米がようやく安価に出回りそうなので、消費者のマインドが改善されることを期待したい。,,,
,,▲,通信会社（総務担当）,・例年８月は売上が減る傾向にある。酷暑で電気使用料金が増えれば、更に影響が出ると予想している。,,,
,,▲,通信会社（局長）,・価格上昇が止まらず、物価高への移行が続いている。賃金の上昇はそこまでではないなかで、所得が少ない人にも厚生年金の加入等が義務付けられれば、更に買い控えにつながると懸念している。,,,
,,▲,テーマパーク（職員）,・米国の関税政策、人員削減などの雇用問題、ガソリンや米価の高騰等により、レジャーは劣後となり、来園者数や消費の減少等が想定される。,,,
,,▲,ゴルフ場（従業員）,・夏の猛暑予報もあり、前年より集客に苦戦することが予測される。,,,
,,▲,美容室（経営者）,・新聞チラシ等の販売促進費を掛けて、新規客の来店キャンペーンを仕掛ける予定である。,,,
,,▲,住宅販売会社（経営者）,・米国の関税政策の影響が出始めるため、世の中全体の不況感が強まり、悪化の動きが全体的に出てくるとみている。,,,
,,×,乗用車販売店（経営者）,・いまだ国内政治が不安定で、米国の関税政策も不透明である。,,,
,,×,一般レストラン（経営者）,・客は節約志向で外食しようという雰囲気になっていない。夏場はエアコンを使うので、電気代も高くなり、家計は厳しくなりそうである。,,,
"企業
動向
関連

(北関東)",,◎,－,－,,,
,,○,化学工業（管理担当）,・新規開発製品の製造を５月末から開始し、７月から販売となる。また、既存製品の受注量もやや増加している。,,,
,,□,食料品製造業（経営者）,・物価高は今後も継続する予想で、生活者の収入はそこまで増えない。生活防衛のため、消費は鈍化したままで推移するとみている。,,,
,,□,窯業・土石製品製造業（経営者）,・物価高が影響しているようなので、これから先もどうなるか分からない。,,,
,,□,一般機械器具製造業（経営者）,・秋頃から回復するとの話はある。しかし、現状では不透明で、低迷した状況が続く見込みである。,,,
,,□,一般機械器具製造業（経営者）,・受注増加を見込めない状況が続いている。米国の関税政策による先行き不安もある。,,,
,,□,電気機械器具製造業（経営者）,・客や同業者の情報から判断すると、先行きは変わらない。,,,
,,□,輸送用機械器具製造業（経営者）,・４月まではまずまずだったが、取引先もゴールデンウィークは稼働日が少なく売上が落ちた。６月は若干戻ると見込んでいる。,,,
,,□,その他製造業［消防用品］（営業担当）,・いまだ物価高の状況等が続いているためである。,,,
,,□,輸送業（営業担当）,・梅雨を迎えるに当たり、乾燥機能付き洗濯機や除湿器、サーキュレーター等、夏物家電、省エネエアコン、冷蔵庫等は前年並みの物量を確保予定である。しかし、依頼に対する車両不足も発生し、協力費も高くなっているため、利益は薄くなりそうである。,,,
,,□,経営コンサルタント,・米国の関税政策の影響が続くとみられるなか、地域企業、下請企業の生産活動は少し戻るとみている。家計は今夏のボーナス等の支給状況にもよるが、多少は活発になるとみている。,,,
,,□,司法書士,・人口減少がどんどん進んでいる影響を受けて、子供の数も減っている。この状態がまだ数年は続くとみている。,,,
,,□,社会保険労務士,・当地域には輸出産業があるため、関税交渉次第で悪影響が懸念される。,,,
,,▲,窯業・土石製品製造業（総務担当）,・原材料の値上がりが懸念される。,,,
,,▲,金属製品製造業（経営者）,・受注予定からみても、やや悪くなる。,,,
,,▲,電気機械器具製造業（経営者）,・売上的にも、前月をピークに今月、来月、再来月と、どんどん悪くなり、かなり厳しくなるとみている。,,,
,,▲,輸送用機械器具製造業（総務担当）,・米国の関税政策の影響で、主要取引先は少しずつ減産傾向へ動いている。今のところ３か月先の予定ではあるものの、先行きに不安がある。,,,
,,▲,建設業（総務担当）,・年度が替わってからの発注や受注の動きは余り良くなく、先行きの不安も大きい。,,,
,,▲,金融業（営業担当）,・外部環境の変化等に中小企業は対応が遅れがちで、今後もやや悪くなる様子がうかがえる。,,,
,,×,不動産業（管理担当）,・求人を出しても応募状況が芳しくなく、今後は更に給与面での待遇を上げざるを得ない。また、事務所ビルのテナントの配置転換で退去の話も出ているため、先行きに明るい話がない。,,,
"雇用
関連

(北関東)",,◎,－,－,,,
,,○,人材派遣会社（経営者）,・夏のボーナス等を期待しての傾向もあるが、夏物やギフト商材、自動車関連では新車等の発表を控えてはいるが、少し厳しいとみている。公共事業関連は頻繁に道路工事等の案内も見掛け、公共工事、住宅関連等では人材募集がある。ただし、現場には外国人労働者も入っている。米価高騰も落ち着いてくれると有り難いと期待はしているものの、厳しい面もある。,,,
,,○,人材派遣会社（管理担当）,・短期の派遣が増加傾向で、一時的だが派遣の仕事が増えると予測している。,,,
,,○,学校［専門学校］（副校長）,・賃上げにより、少しずつ消費行動が上向きになると考える。,,,
,,□,人材派遣会社（社員）,・50～60代の求職者割合が高く、企業側の求める年齢層とのギャップが解消されない状況が続いている。,,,
,,□,職業安定所（職員）,・新規求人数の前年同月比の動向は、建設業は減少傾向、医療福祉分野は増加傾向で推移している。製造業、卸・小売業は増減を繰り返している。,,,
,,▲,－,－,,,
,,×,＊,＊,,,
,,,,,,,
　４．南関東（地域別調査機関：株式会社日本経済研究所）,,,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,,,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,,,
"家計
動向
関連

(南関東)",東京都,◎,一般小売店［文房具］（経営者）,・今年に入ってから売上は２けた伸びており、文具店の繁忙期である４月からゴールデンウィークを過ぎても来客数は落ちていない。週末に行われる地域のイベントも活発に開催されており、今後の景気の不安材料は梅雨に入ってからの天候だけである（東京都）。,,,
,,◎,都市型ホテル（経営者）,・現状の２～３か月先の予約数等を考えると、良くなる。,,,
,,◎,都市型ホテル（スタッフ）,・７～８月は既に高単価での予約で埋まってきているため、期待している。,,,
,,◎,ゴルフ場（経営者）,・ここ２～３か月の来客数、売上共に底打ち感がある。天候が悪くなりすぎなければ、減税、米相場など行政の動きも良くなりそうなので、身の回りの景気は良くなる。,,,
,,○,一般小売店［家電］（経理担当）,・電気店の場合、６～７月は特に天候に左右されやすい。今年の予報では暑くなるのが早いようなので、６月以降エアコンなどが売れるとみている。エアコンに関しては、高くても省エネになる物と安価な物とが売れる。,,,
,,○,一般小売店［家電］（経理担当）,・今夏も暑くなりそうで、各種補助金も出てきているので期待している。商財の確保が気掛かりである。,,,
,,○,一般小売店［祭用品］（経営者）,・６月以降は需要が増えて良くなる。,,,
,,○,一般小売店［眼鏡］（経営者）,・夏場まではよく売れるため、この調子で売上が伸びることを期待している。,,,
,,○,一般小売店［傘］（店長）,・男性用の遮光遮熱効果のある晴雨兼用傘が浸透してきており、問合せが増えている。,,,
,東京都,○,百貨店（営業担当）,・来客数、購買客数は伸びており、消費に関する需要は引き続き伸びる（東京都）。,,,
,東京都,○,百貨店（販売促進担当）,・家計の節約志向も一段落し、高齢客の来店頻度と若年層の新規来店に増加傾向がみられる（東京都）。,,,
,,○,コンビニ（エリア担当）,・定期昇給の安定的な増加と夏のボーナスによって給与の手取り額が増えているため、客単価の上昇が見込まれる。,,,
,,○,コンビニ（エリア担当）,・イベント開催の時期に入り、人出が増えるため、来客数、売上共に増加が見込まれる。イベントの客は単価を余り気にしない傾向もあり、期待ができる。通常の客は、値上げにより客単価は上がっているものの買上点数が不調である。,,,
,東京都,○,衣料品専門店（店長）,・これからの浴衣需要に備え、評判の高いアニメとのコラボ商材を投入し、けん引を期待したい。また、新作ステージドレスフェアのスタートは計画比91％ともう一歩のところだが、集客及びＰＲ強化で巻き返しを図る予定である（東京都）。,,,
,東京都,○,家電量販店（店長）,・市況予測でも訪日旅行者は今後も増加する見込みのため、来客数も増えるとみている（東京都）。,,,
,,○,その他専門店［ドラッグストア］（経営者）,・灼熱の夏が来ると夏物商材の売行きが変わるので、夏に期待している。,,,
,東京都,○,高級レストラン（経理担当）,・事業の特性上、予約は３か月から１年前に客から受ける。３か月先の予約は現在よりも30％程度多いため、やや良くなる（東京都）。,,,
,東京都,○,一般レストラン（経営者）,・品質を重視して、客への提供レベルを落とすことなく、しっかりと商材を提供できれば、景気に左右されることはない（東京都）。,,,
,東京都,○,旅行代理店（従業員）,・好調なインバウンドにより現在の好況が維持される見込みである（東京都）。,,,
,,○,タクシー運転手,・この先、梅雨入りして雨が降るとタクシーの動きが良くなるため、期待したい。今夏もかなり暑くなる予報のため、利用者は間違いなく増える。,,,
,東京都,○,タクシー運転手,・夏がかなり暑くなってきているため、前年の夏を考えると利用客がかなり増えるのではないかとみている。この調子でいけば更に良くなる予想だが、米国の関税政策が我々の生活にどのように影響するか分からないところもある。期待を込めて、やや良くなる（東京都）。,,,
,東京都,○,タクシー運転手,・例年どおりであれば２～３か月後は猛暑で客が増える。売上は余り変わらないものの、近距離利用の客が増えて忙しくなる（東京都）。,,,
,東京都,○,通信会社（経営者）,・新型コロナウイルス感染症の影響が少なくなり、新たな購入客層が出現しつつある（東京都）。,,,
,東京都,○,通信会社（社員）,・前月に引き続き、商店街のイベントなど、小規模だが案件が増えている（東京都）。,,,
,東京都,○,通信会社（経営企画担当）,・案件の動きが少しずつ進展していく見込みである（東京都）。,,,
,東京都,○,通信会社（管理担当）,・ＢｔｏＢは堅調に推移する。ＢｔｏＣについても政府の働きかけで米などの物価上昇への一部てこ入れが行われ、若干物価が落ち着くことと消費意欲の改善が見込まれる（東京都）。,,,
,東京都,○,通信会社（営業担当）,・６月以降に特に大きなイベントがあるわけではないため、大きくは変わらないとみている。ボーナス支給によりやや影響があるかどうかである（東京都）。,,,
,,○,その他サービス［立体駐車場］（経営者）,・６月に近隣でスーパーがオープンするため、利用者が増えることを期待したい。,,,
,,○,設計事務所（経営者）,・ただ待っているだけではなく、どんどん動かなくてはいけないということをこの半年間で考え、やらねばならぬという気持ちで頑張っている。そのため契約もどんどん増えて、現在は社員数が足りないくらいである。,,,
,,○,設計事務所（経営者）,・幾つか案件があり、その中には具体的に動き出しそうなものがある。,,,
,,○,設計事務所（経営者）,・物価については、葉物野菜の相場が下がってきて、米も安価なものが流通するようになる見通しができたため、消費が拡大し、景気はやや良くなっていく。,,,
,,○,住宅販売会社（経営者）,・国内ホテルの宿泊料金が上昇しつつあり、特に都内では月に２％程度上昇しているため、ホテル部門は良くなる。一方、建設業は、資材価格の高騰により我々中小企業はまだ厳しい環境のなかにあり、なかなか従業員の賃金を上げることができない。,,,
,,○,住宅販売会社（従業員）,・個人投資家や相続税対策でのアパート購入需要は、問合せなどからみて継続する。さらに、法人の土地活用の動きが増えている。,,,
,,□,商店街（代表者）,・今後も余り良くならないという判断から、フリーに使えるお金をある程度手元に持っておきたいという客の心理がうかがえる。そのため、買物について慎重にならざるを得ない。,,,
,東京都,□,商店街（代表者）,・基調は、なだらかな右肩上がりとみているが、世界経済の不確実性とマインドの変化はなかなか不安含みである。また、気温や気候の影響も大きく、中長期の気象予報で、前年ほどは暑くならないといわれていることはプラス要因である（東京都）。,,,
,東京都,□,一般小売店［家電］（経営者）,・今の悪い状態がこのまま続いていくような気がして仕方ない。売上自体も底を突き始めている（東京都）。,,,
,東京都,□,一般小売店［家具］（経営者）,・景気は現状のままで変わらない。来客数は以前と比べれば幾らか増えているものの、なかなか成約には結び付かない。何とか現状維持で頑張っている（東京都）。,,,
,,□,一般小売店［食料雑貨］（経営者）,・半年後には大きく変わるが、３か月先では変化はない。,,,
,,□,一般小売店［印章］（経営者）,・印章店なので文房具に属すが、印鑑の技術にこだわること自体が古いのかもしれない。ロボット彫刻がまん延しており、非常に安価に設定されているため、技術にこだわった販売方法では厳しい。販売方法等を考えていかないと、将来は先細りするばかりである。,,,
,東京都,□,一般小売店［米穀］（経営者）,・今のところ賃金が上がる見通しが立たないため、やはり２極化している。富裕層は良いが、賃金の底上げがないと、経済は大きく良い方向には転換しない（東京都）。,,,
,東京都,□,一般小売店［生花］（店員）,・８月は暑さで花の需要がほとんどなくなる季節である。５月の母の日と同様に８月のお盆も売行きが悪いと予想されることから、変わらない（東京都）。,,,
,東京都,□,一般小売店［書店］（総務担当）,・今後２～３か月先では業績に大きな影響を与える要因はない（東京都）。,,,
,東京都,□,百貨店（売場主任）,・インバウンドはさほど変わらないとみられるが、主力の購買層では原材料価格の高騰や為替の影響により買い控えがあるとみている（東京都）。,,,
,東京都,□,百貨店（総務担当）,・直近の備蓄米放出により、食料品の動きが出てくることは好ましいが、一過性にすぎず、価格は高止まりすると予想している。あらゆる物価の上昇は継続する一方で、経済の先行きが見通せないなかでの消費行動は鈍化するとみている。売上は一定程度の伸びはあるものの、購買数の減少、メリハリをつけた消費行動により、結果として現状と変わらないと推察される（東京都）。,,,
,,□,百貨店（総務担当）,・現状の消費に対する慎重な姿勢は継続することが予想される。,,,
,東京都,□,百貨店（総務担当）,・米に代表されるように、食料品関連の値上げが続いており、一般的な消費者の行動が、生活必需品中心となる傾向が強くなっている。経済情勢の先行きも不透明で、この先景気が良くなるという雰囲気はない（東京都）。,,,
,東京都,□,百貨店（広報担当）,・内需の個人消費に直接的な影響は発生しないものの、米国の関税引上げを起点として、先行きの不透明感が一定程度消費マインドにマイナスに働くと予想している。一方で、高付加価値消費に対する国内需要の底堅さを揺るがすほどのインパクトはなく、全体的には現状の基調から大きく変化はしない（東京都）。,,,
,東京都,□,百貨店（営業担当）,・首都圏の百貨店では、外国人客の来店及び購買が減っている状況にあるが、郊外型の店舗の状況は今後も余り変化はないとみている（東京都）。,,,
,東京都,□,百貨店（営業担当）,・大阪・関西万博の開催により、インバウンドの来客数は増えているものの、購買状況、特に購買単価下落の傾向は今後も続くとみている（東京都）。,,,
,東京都,□,百貨店（販売促進担当）,・６月からの値上げ品目が増え、消費が鈍化すると予測している（東京都）。,,,
,,□,百貨店（企画宣伝担当）,・米価を始めとした食料品の高騰が収まらないなか、消費マインドへの影響が懸念される。,,,
,東京都,□,百貨店（管理担当）,・今夏も暑くなる予報が出ている。外出を控えたり、衣料品も手持ちの物で済ます動きが増えるとみている（東京都）。,,,
,,□,百貨店（店長）,・近隣でマンション建設が進んでおり、新規の客が来店してくれるチャンスがある。,,,
,,□,スーパー（経営者）,・強力な競合店が近隣にできたので、影響を受けている。やや良くなると回答したいところだが、現状のまま変わらない。米不足の解消も不透明で、余り良くならないのではないかとみている。,,,
,,□,スーパー（経営者）,・当社はスーパーマーケットだが、何しろ客はお金がない。可処分所得が増えないことには、現状のやや悪い状態がずっと続くのではないかとみている。,,,
,,□,スーパー（店長）,・米価の動向もあるが、値上げがいまだ続いていることもあり、買上点数自体は減少傾向になっていく可能性がある。,,,
,東京都,□,スーパー（店長）,・消費者には節約志向が依然として根付いており、値上げの影響も大きく、日々必要最低限の買物しかしないのが現状である。物価の上昇と所得のバランスが取れるようになるまでは、同様の状態がしばらく続く（東京都）。,,,
,,□,スーパー（総務担当）,・物価の上昇が止まらない。,,,
,東京都,□,スーパー（営業担当）,・販売量、来客数の減少、単価の上昇傾向がしばらく続く（東京都）。,,,
,東京都,□,スーパー（食品担当）,・しばらくは競合店の状況を注視し、カテゴリーでの特売を実施するなど、影響を最小限にとどめるように努める（東京都）。,,,
,,□,スーパー（販売担当）,・値上げが続くため、変わらない。,,,
,,□,コンビニ（経営者）,・これから夏に向けて、来客数、冷たい商材の販売増加が見込まれる。,,,
,,□,コンビニ（経営者）,・天候が大幅に悪化しない限り、現状を維持できるとみている。,,,
,,□,コンビニ（経営者）,・新たな値上げによる買い控えが心配である。,,,
,,□,コンビニ（経営者）,・コンビニなので米を買うことは余りないが、全体的に米価が高く、２年前の２倍になっているため、来店客も購入する際はできるだけ買上点数を減らしたりしており、客単価は低下傾向になっている。米価や物価に関するニュースが毎日流れているため、消費行動も弱くなっている。,,,
,東京都,□,コンビニ（エリア担当）,・売上は好調なペースが続いており、大型の販売促進等で維持される見込みである。主力商材の値上げもあるため、動向を注視したい（東京都）。,,,
,東京都,□,コンビニ（エリア担当）,・夏季は売上が増加傾向になるものの、物価上昇による来客数、買上点数の減少が懸念されるため、上向きとはならない（東京都）。,,,
,,□,コンビニ（エリア担当）,・直近２～３か月でトレンドが変わっていないため、この先２～３か月も横ばいとみている。,,,
,東京都,□,コンビニ（商品開発担当）,・米価が大幅に下がらない限り、客の消費マインドが改善してこない（東京都）。,,,
,,□,コンビニ（従業員）,・景気自体は余り変わっていない。２～３か月先も大きく変動する要素はない。夏季はドリンクが多く売れる。その反面、暑い時期に買われにくい商材は減ってしまう。まだ米が高いが、コンビニをうまく利用して、ちょっとしたぜいたくをしてもらいたい。,,,
,,□,衣料品専門店（統括）,・今期に入って２か月連続で来客数が前年を下回っている。この状況が即改善されることは余り考えにくい。,,,
,,□,衣料品専門店（役員）,・やはり食料品等の価格上昇が止まらないと、衣料品業界は厳しい。,,,
,,□,家電量販店（店長）,・物価上昇がまだ収まらないため、現状のままである。,,,
,,□,乗用車販売店（経営者）,・自動車の整備は順調だが、販売が余り芳しくない。客の来場はあるものの、なかなか契約に結び付かない。,,,
,,□,乗用車販売店（経営者）,・来客数及び売上も前年並みになる見込みである。,,,
,東京都,□,乗用車販売店（経営者）,・自動車メーカーが新車ディーラー以外の自動車販売会社に卸したがらないため、販売機会が減っている（東京都）。,,,
,東京都,□,乗用車販売店（従業員）,・新型車が秋口以降に出るまでは変わらない（東京都）。,,,
,東京都,□,乗用車販売店（販売担当）,・基本的な生活にまつわる物が全て値上がりしている。それに加え、米国の関税政策の影響で今後どうなるかという不安があるため、現状のままだと景気は変わらない。ロシアによるウクライナ侵攻、イスラエルのガザ侵攻と戦争が続いていることの影響もある。そうしたなかで、減税なり消費税の廃止なりを行わないことには、消費は上向かないため、景気は変わらない（東京都）。,,,
,,□,乗用車販売店（総務担当）,・業界全体が先行き不透明な状況が続く。,,,
,,□,乗用車販売店（渉外担当）,・すう勢が変化する要因が見当たらない。,,,
,東京都,□,乗用車販売店（営業担当）,・車はし好品になってきているため、食料品などその他の物価が下がらない限り変わらない（東京都）。,,,
,東京都,□,住関連専門店（営業担当）,・今年度のリフォーム関連の国策補助金事業の認定要件が、前年以前と比べてハードルが上がったため、需要喚起効果が薄い。今後についても補助金効果は余り期待できないとみている（東京都）。,,,
,,□,その他専門店［ドラッグストア］（経営者）,・集客力のある大型店に客を取られてしまい、なかなか当店に来てもらえず、大分苦戦している。いろいろ考えてはいるもののうまくいかない。もう少し考えてみる。,,,
,東京都,□,その他小売［ショッピングセンター］（統括）,・米価高騰等により生活費が圧迫されて家計はゆとりを失い、将来不安から消費の鈍化傾向が続くとみている（東京都）。,,,
,,□,その他小売［ショッピングセンター］（統括）,・賃上げが進んでいるものの、物価高の影響もあり、業種によっての好不調が顕著になる。,,,
,東京都,□,その他小売［生鮮魚介卸売］（営業）,・今後の天候も不安材料である（東京都）。,,,
,東京都,□,高級レストラン（営業担当）,・宴会関連の受注状況から、全体として宴会規模の縮小化が顕著である（東京都）。,,,
,,□,一般レストラン（経営者）,・今も特段に良いわけではないが、暇な時期より多少は良くなっている。コロナ禍が明けて大分たつが、新型コロナウイルス感染症発生前よりも売上は多くなっている。ケータリングも順調に入ってきている。できる範囲のことはしているので、以前よりは良いものの、景気は余り変わらない。これから伸びることは考えにくいため、今のやり方で何とか維持していければと考えている。,,,
,,□,一般レストラン（経営者）,・３か月後は、米国の関税政策等の影響があり、物価が安くなるとか円安から円高になっていく兆しは見受けられない。今より悪化するとみている。,,,
,東京都,□,一般レストラン（経営者）,・景気動向は今のところ様子見である（東京都）。,,,
,東京都,□,その他飲食［カフェ］（経営者）,・ここ数年、インターネット環境を整備した新業種、新形態の店が増加している。各店、新規客の獲得に成功している（東京都）。,,,
,東京都,□,その他飲食［カフェ］（経営者）,・当社に関しては、新商品が売れているためそこまで悪くなることはないが、米価が上がった辺りから客足が落ちている。ゴールデンウィークも前年より悪く、卸先の外食産業や小売店にも影響が出ている。その上、コーヒー豆の価格が大幅に値上がりしており、コーヒー店も閉めるところが増えている。このようなことからマイナス要因が多く、先行きは不透明である（東京都）。,,,
,東京都,□,その他飲食［居酒屋］（経営者）,・新たに大きな経済政策が打ち出されない限りは、現状は変わらない（東京都）。,,,
,,□,都市型ホテル（経営者）,・売上は現状の好調を維持するとみているが、これから夏場に差し掛かり、水道光熱費の上昇が不安要因である。米価を始めとした仕入価格の高騰がずっと続いており、売上は変わらなくても収支バランスが悪化することを危惧している。,,,
,,□,都市型ホテル（スタッフ）,・米国の動き方等で貿易関係は相当影響を受けると考えられ、それが県内の各企業にも波及し始めるかもしれない。その動きを見定めてからでないと、景気動向は分からない。,,,
