,,□,タクシー運転手,・イラク情勢は、日本経済や国民にとって良い状況ではない。,
,,□,タクシー運転手,・電話か駅待ちで客を乗せているが、景気が悪くなるとタクシーの運転手は増える一方、１日の電話回数はあまり変わらないので、稼ぎは悪くなる。悪い状況は変わらない。,
,,□,ゴルフ練習場（経営者）,・イラク情勢が長引けば、今後の景気は悪くなる。,
,,□,競輪場（職員）,・４月の異動に伴う歓送迎会やゴールデンウィークにより、一時的に良くなっても、大きな変化は見込めない。,
,,□,その他サービス［自動車整備業］（事務長）,・有効期間２年満了となった貨物車車検の１回目の戻り年に当たるが、台数はさほど見込めない。また、乗用車の戻り年にも当たるので、若干の入庫がある。,
,,▲,商店街（代表者）,・３月にオープンしたアウトレットの真向かいに大型のショッピングセンターが４月下旬開店する。予想の売上高が両方で300億円であり、15キロ離れた当市では来客数がかなり減少する。アウトレットの影響は少なくても、ショッピングセンターには競合店がいくつも出店するので、やや悪くなる。,
,,▲,百貨店（販売促進担当）,・イラク情勢の影響で、今後の消費は冷え込む。明るい情報がなく、景気は低迷したままである。,
,,▲,スーパー（経営者）,・イラク情勢がこのまま長引くことが懸念されているので、原油の値上がり、株価の低迷で、必要な物以外の需要は大変厳しくなる。,
,,▲,スーパー（店長）,・４月末に近隣に大きなショッピングセンターがオープンするため、来店客の流れがやや悪くなる。また、イラク情勢がこのまま長引けば、商品価格にも影響が出始め、悪い方向となる。,
,,▲,スーパー（経営企画担当）,・イラク情勢、業績不振の同業大手が激安チラシを出すという噂、中高年客の増加、老人の万引きの増加などから判断すると、景気はやや悪くなっている。,
,,▲,コンビニ（経営者）,・イラク情勢が長期化する様子で、景気は今よりもやや悪くなる。,
,,▲,衣料品専門店（販売担当）,・今年は選挙の影響で、春休み、ゴールデンウィークであっても消費は落ち込む。来客数が減少している上に、今後郊外店が続々オープンするので、悪くなる。,
,,▲,乗用車販売店（従業員）,・ベアゼロ回答の企業も多く、ますます高額車が売れなくなり、代替期間も長くなる。,
,,▲,乗用車販売店（販売担当）,・この２、３か月、中古車に関しては横ばいでいくが、連日、イラク情勢が落ち着くまでは景気が悪くなると報道されている。戦争終結までは、やや悪くなる。,
,,▲,自動車備品販売店（経営者）,・６月はボーナス時期であるが、ボーナス払いは縮小気味で、お金を使うことが少なくなっている。前年は最悪であり、今年も良くなる見込みはない。,
,,▲,観光型ホテル（スタッフ）,・善光寺ご開帳の年であるが、７年前のご開帳と比べ、問い合わせが圧倒的に少ないので、やや悪くなる。,
,,▲,旅行代理店（経営者）,・イラク情勢、東南アジアで発生したＳＡＲＳ（新型肺炎）が中国を中心に世界中に広まりつつあることなどから、人が動かなくなる。特にイラク情勢が長引くと、景気は悪化する。,
,,▲,タクシー運転手,・歓迎会などで４月の週末は少し動きがあるが、以後の動きは悪くなる。,
,,▲,ゴルフ場（支配人）,・近県、県内の一部の冬季クローズコースが一斉にオープンする。選挙の影響や、料金の安いコースへコンペが流れていることから、ゴールデンウィークの予約が伸びないので、やや悪くなる。,
,,▲,競輪場（職員）,・イラク情勢により、経済の先行きが不安定な状況である。,
,,▲,住宅販売会社（経営者）,・イラク情勢の影響を受け、ガソリンが既に値上げされており、その他石油関連商品の値上げも予想される。不安感により、消費が鈍くなり、金銭の流通が今までより悪くなる。,
,,×,一般小売店［衣料］（経営者）,・イラク情勢により、不安材料が停滞している。日本だけが良くなることはなく、景気が上向く要素は全くない。,
,,×,一般小売店［青果］（店長）,・イラク情勢次第だが、成り行きによっては更に悪くなる。ここ最近、行事ごとがあっても、さほど関連商品が動かなくなっているが、今回の彼岸は特にそうである。,
,,×,一般レストラン（業務担当）,・イラク情勢により、ガソリン代が値上がりしている。これをきっかけにあらゆるコストが上昇してくる一方、消費者は買い控え、財布のひもが固くなる。,
,,×,都市型ホテル（経営者）,・地域の大型店が秋ごろに２軒撤退することが決まり、これでデパートは１つになる。先の見通しに明るさは全くなく、景気はますます悪くなる。,
,,×,都市型ホテル（スタッフ）,・イラク情勢の影響で、一層景気が悪くなる。特に地域の動きが鈍く、早く打破したいが難しい。,
,,×,旅行代理店（営業・管理担当）,・イラク情勢がこのまま続くと、国内、国際とも航空の需要が減少する。,
,,×,美容室（店長）,・イラク戦争が長期化することにより、石油、物価が上がり、景気は悪くなる。,
"企業
動向
関連

(北関東)",,◎,輸送用機械器具製造業（総務担当）,・一部５～６月にかけて、車種のモデルチェンジがあり、前倒しの生産、売行き次第では増量生産が見込まれる。４～６月の受注量は、前年比10％強の増加を見込んでいる。,
,,○,化学工業（総務担当）,・期が変わり、海外での需要が出始めたとのことで、４月からの注文は多く入ってきている。,
,,○,一般機械器具製造業（経営者）,・自動車関連の部品は、高水準で横ばいとなり、建設機械関連部品が徐々に増加傾向にあることから、やや良くなる。,
,,○,司法書士,・４月から登記手続費用が減額されることになっており、上向き始める。,
,,□,プラスチック製品製造業（経営者）,・変化する兆候はみえないが、今後戦争の影響がどうでるか不透明である。,
,,□,金属製品製造業（経営者）,・イラク情勢による北米の市場、景気、輸出を懸念している。,
,,□,一般機械器具製造業（生産管理担当）,・取引先各社の来期の方針説明によると、今期とほぼ同様の売上を見込んでおり、当社の受注も同様に推移する。,
,,□,金融業（経営企画担当）,・個人、法人とも資金需要がなく、とりわけ企業の設備投資資金需要の低迷が目立つ。,
,,□,新聞販売店［広告］（総務担当）,・関連の旅行会社では、イラク情勢、香港のＳＡＲＳ（新型肺炎）等の影響で予約のキャンセルが続き、急遽国内旅行にシフトしたが、反応は鈍く期待できない。また、例年なら多い６月ごろの社員旅行がほとんどまとまっていない。,
,,□,経営コンサルタント,・業種を問わず、新年度に向けた引合いや、事業開拓の兆候はありそうだが、見極めには時間を要する。,
,,▲,電気機械器具製造業（経営者）,・４～６月の生産計画は主に弱含みで、売れないことを予測して生産量を控えめにしている。２割の受注減が起きている。,
,,▲,輸送業（営業担当）,・今後イラク情勢が長期化すれば、原油の関係する全ての取引先が苦しくなる。,
,,▲,金融業（融資担当）,・大型の消費財や家等は、金利が低いこともあって堅調に推移する。一般の消費は、イラク情勢の長期化及び４月以降の税金等の負担により沈んでいく。,
,,▲,広告代理店（営業担当）,・サービス業の値下げ競争に歯止めはかからず、今後もシビアな持久戦は続く。クライアントの広告予算も減少傾向にある。,
,,▲,その他サービス業［放送］（営業担当）,・平成15年度の年間契約コマーシャルが10％近く減少する見通しである。企業の経費見直しにより、新規のコマーシャルが少なく、売上、利益とも減少傾向にある。,
,,×,食料品製造業（営業統括）,・イラク情勢の長期化が懸念されており、酒税増税も控えていることから、消費者の購買意欲が更に低下する。,
,,×,電気機械器具製造業（経営者）,・取引先の資材担当から、４月以降の受注計画は非常に厳しいと言われており、コストダウンの要請も受けていることから悪くなる。,
,,×,その他製造業［宝石・貴金属］（経営者）,・ジュエリーが売れるには明るいムードが必要であるが、イラク情勢を始めとして、株価の低迷、地価の低下など悪い雰囲気が多い。,
,,×,その他サービス業［情報サービス］（経営者）,・イラク情勢により、この数か月は投資の様子見が出てくるので厳しい。,
"雇用
関連

(北関東)",,◎,－,－,
,,○,－,－,
,,□,人材派遣会社（経営者）,・求人、求職は、単発応援程度で、現状の人数でやりくりするという動きが強い。時間単価の引上げは困難である。,
,,□,人材派遣会社（経営者）,・前年同期と比較して、自動車、ＩＴ関連における新規派遣要請の動きが活発である。派遣料金は３～５％低下している。男性の派遣登録者、特に中高年が目立つようになっている。,
,,□,新聞社［求人広告］（担当者）,・イラク情勢により、変わらない。,
,,□,職業安定所（職員）,・大手企業の人員整理は一段落しているが、２月末に中小の電子部品製造会社が事業縮小を行った。不安定な国際情勢の中､先行きが不透明であり､雇用環境は引き続き厳しい。,
,,□,職業安定所（職員）,・管内の新規求人数は、前年同月比で９か月連続して増加しているが､就職者数は伸びていない。引き続き企業整理による離職者が発生することや、求人内容で請負や派遣が増加していることから、求職者の滞留、増加が見込まれ、厳しい状況は変わらない。,
,,▲,求人情報誌製作会社（経営者）,・周辺企業に売上の伸びが全くなく、値引きや客単価の低下が目立つ。,
,,▲,民間職業紹介機関（経営者）,・製造業においては、短納期、低コスト化が激しく、仕事はあっても利益につながらない企業が大変多い。中国進出を積極展開中の企業は移管のための仕事が増加し、一時的に忙しい。一段落した後の国内が、心配の種である。,
,,▲,学校［短期大学］（就職担当）,・３月に16年３月卒業者対象の合同就職面接会が３回開催されたが、参加企業、求人数いずれも前年比70％程度である。求人内容も専門的、技術的な分野が多く、学生が希望する事務、販売職は半減している。,
,,×,＊,＊,
,,,,,
　４．南関東（地域別調査機関：（財）日本経済研究所）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(南関東)",,◎,－,－,
,,○,コンビニ（経営者）,・近隣で10年越しの再開発事業が動き出すため、工事関係者を中心にコンビニやレストランへの来客数が増加する。,
,,○,コンビニ（経営者）,・来客数は変化していないが、弁当などの食料品は前年水準を維持しており、今後も伸びる余地がある。,
,,○,衣料品専門店（経営者）,・値ごろ感のある婦人衣料を販売をすれば、業績が上向く。,
,,○,家電量販店（店長）,・電力異常の関係もあり、省エネが注目されている。冷蔵庫などでは､電気代が10年前の10分の１以下という商品も出ている。夏に向けてエアコンも動くという予測をしており、期待する商品がこれから増加するので､やや良くなる。,
,,○,都市型ホテル（スタッフ）,・国内需要が増加すると予想できる。,
,,○,都市型ホテル（スタッフ）,・宴会場のリニューアル効果が出始めており、受注残を順調に維持できている。,
,,○,通信会社（企画担当）,・新商品を用意しているので、大きく期待している。,
,,○,観光名所（職員）,・いろいろな業者にあたるなど、集客の努力の結果、客が定着している。,
,,□,一般小売店［茶］（営業担当）,・必要な品は購入するが、余計な品までは購入しない傾向が継続している。法事のギフトについても、１人当たりの購入金額は減少している。,
,,□,百貨店（売場主任）,・３月後半は気温も上がったため、春物商材の動きが非常に良くなってきているが、全体としてはこのまま厳しい状況が続く。,
,,□,百貨店（売場主任）,・ＵＶ関連商品が比較的順調に推移するものの、前年のサッカーワールドカップのような特別な需要が見込めない。,
,,□,百貨店（営業担当）,・前年と大きく異なり、気温の低い日が続き、雨が多いこともあり、春物衣料品が低迷している。戦争も始まり、長期化する様相を呈していることから、景気への影響が懸念される。天候の動向が春物、初夏物衣料品の売出しに影響するため、売上動向は現状のままで推移する。,
,,□,スーパー（店長）,・気温の低下で春物が売れていないのが大きな要因であるが、卒業、入学、入社等の行事関連商品も売上が良くない。イラクの戦争が長引くと、景気低迷が更に続く。,
,,□,スーパー（店長）,・来客数は維持しているものの、客単価が下げ止まらず、売上の増加はなかなか望めない。,
,,□,スーパー（店長）,・イラク情勢が非常に不安定であり、この問題が早期解決すれば状況が変化するが、現状ではこのまま推移する。,
,,□,衣料品専門店（経営者）,・イラク戦争の行方、北朝鮮の動向、公務員やサラリーマンの給料や年金など、心理的な不安がある。実収入が減少しているので、財布のひもが堅い。預金金利を５％程度まで上げれば、心理的に金を使う気分になるかもしれない。,
,,□,乗用車販売店（営業担当）,・新社会人の注文等も全くなく、状況は変わらない。,
,,□,その他専門店［キャラクターグッズ］（従業員）,・新商品の発売や販促イベントの実施により、売上、集客増を期待しているが、結果には結びつかない。,
,,□,その他専門店［眼鏡］（店員）,・月によって来客数が不安定であり、好調を持続できるまでには至らない。,
,,□,高級レストラン（宴会予約担当）,・イラクの戦争が長引いて海外挙式が取り消しになれば、国内挙式に取り込める可能性があるが、どの程度振り替わるかは未定である。,
,,□,都市型ホテル（スタッフ）,・夏の婚礼対策として、今年限りの季節限定プランを導入した結果、婚礼の受注件数は前年並みとなっているが、今後の打ち合わせで単価上昇が図れないと、状況が悪くなることもある。婚礼一件当たりの利用人数も減少しており、先行きは不透明である。,
,,□,旅行代理店（従業員）,・イラク戦争が終わっても､今後の需要の動向は変わらない。この２、３か月では、消費者に余裕は生まれない。,
,,□,タクシー運転手,・イラク情勢が不透明なので、変わらない。,
,,□,タクシー運転手,・規制緩和から１年たち、車の数が増加する一方、客は減少するばかりで、このままでは共倒れになる心配がある。,
,,□,タクシー運転手,・イラク戦争が始まり、景気が良くなるとは思えない。,
,,□,タクシー運転手,・イラク情勢が終結しない限り、景気に変化はない。,
,,□,通信会社（営業担当）,・当社のみならず、入居している大型のショッピングセンターの客の様子や、経営者間の情報交換からも、景気の厳しさは変わらず、明るい材料が見当たらない。,
,,□,その他レジャー施設（経営者）,・営業はできているが、新規客の開拓まではできていない。イラク情勢の影響で、皆早く帰宅してテレビを見ているのではないか。,
,,□,その他レジャー施設［アミューズメント］（職員）,・イラク情勢は、現在のところ当業界に悪影響を与えていない。逆に、良い方向に作用しているかもしれない。しかし、長期的にはマイナス要素であり、当業界にも影響が出るのは時間の問題である。,
,,□,設計事務所（所長）,・仕事が少ない中で、過当競争が目立つ。住宅もマンションも数が増えすぎていて、これから先どうなるか分からず、不安である。,
,,□,住宅販売会社（経営者）,・イラク情勢が客の属する会社の景気にどう影響するかによるが、住宅を求める人は潜在的に多い。戦争を遠い世界のことと感じている人が多いせいか、今のところ直接的な影響は出ていない。今後戦争が終わることを考えれば、それほど変わらない。,
,,▲,商店街（代表者）,・イラク情勢がかなり影響している。イラクは日本から遠い国であるが、テレビで報道されているので、無関心ではいられず、みんな心配している。,
,,▲,商店街（代表者）,・商店街に来店する客の動向、株の動き、イラク情勢など、心理的なものが影響している。各事業所でリストラの対象となっている客もかなりいるようで、購買意欲が低下している。,
,,▲,一般小売店［鞄・袋物］（従業員）,・戦争が始まり、マスコミが騒いでいるので、海外旅行を始め、全ての面で景気が左右される。客はマスコミの報道に敏感であり、戦争が終わって半年間くらいは、厳しい状況が続く。,
,,▲,百貨店（売場主任）,・景気が上向く様子が全くみえず、戦争による漠然とした不安感が影響して、３か月後は悪くなる。,
,,▲,百貨店（企画担当）,・店頭の動きをみていると、天候が良くても前年実績に達するのがやっとで、少しでも天候が悪いと売上が30％程度落ちている。前年比でプラスを出せる日が少なく、月全体で前年並みは確保できない状況がずっと続いているため、今後も全く楽観できず、厳しい状況が続く。このままでは、経費削減も売上減に追いつかず、経営は更に厳しくなる。,
,,▲,百貨店（販売促進担当）,・天候が回復すれば、春物の動きが良くなると予測される。ただし、今のところ直接的な影響は出ていないものの、戦争が始まったので、買い控えが広がることが懸念される。,
,,▲,百貨店（販売促進担当）,・イラク情勢の長期化による先行きの不透明感が、一般庶民にまで及んでいる。また、年金や医療保険制度の先行き不安が、今後の消費動向にも悪影響を及ぼしている。,
,,▲,百貨店（営業企画担当）,・百貨店の主力顧客である40歳代から50歳代向けのファッション衣料が、前年比10％割れである。イラク情勢の影響も加わり、新しいファッションを身に付けようという心理にならず、実需要のみの消費にとどまる傾向が更に強まる。,
,,▲,スーパー（運営担当）,・イラク情勢の長期化が、世界情勢を圧迫する危険性がある。,
,,▲,衣料品専門店（経営者）,・良くないニュースばかりが報道されている。イラク情勢も長引く様子で、先行き不安な要素が多すぎる。,
,,▲,衣料品専門店（販売担当）,・春物衣料が今一つ盛り上がらない。客足も、戦争が始まった日の午後はぱったり少なくなった。今後、景気は少し悪くなる。,
,,▲,乗用車販売店（営業担当）,・イラク戦争が落ち着くまで、景気は上向きにならない。,
,,▲,乗用車販売店（販売担当）,・イラク情勢とテロへの不安、金融の先行き不透明感などが払拭できていない。,
,,▲,その他小売［雑貨卸］（経営者）,・イラク情勢と北朝鮮の不安定な状況が続く。,
,,▲,一般レストラン（経営者）,・イラク情勢の影響が消費に出ている。今後どのようになるか分からないという警戒心が、輪を掛けて消費を鈍らせている。,
,,▲,一般レストラン（店長）,・客は酒の席でも、戦争の先行きへの不安や３月決算の結果を話題にしており、今後景気が悪くなると考えている客が多い。,
,,▲,都市型ホテル（スタッフ）,・戦争により官公庁関係の検討が少なくなる。ガソリンの値段が上がるので、トラックやタクシーの組合の自粛が懸念される。,
,,▲,都市型ホテル（スタッフ）,・イラク戦争が長引くと、宿泊、宴会需要ともに、大きく落ち込むことが予想される。,
,,▲,旅行代理店（従業員）,・春先の旅行の問い合わせや受注が特にない。,
,,▲,旅行代理店（従業員）,・イラク戦争の長期化により、客の海外への出控えが予想される。,
,,▲,タクシー（団体役員）,・株価も下がり、イラク情勢も互いの情報合戦の様相を呈している。世界的反戦運動も広がっており、良い材料が全くみえてこない。,
,,▲,パチンコ店（経営者）,・イラクで戦争が始まり、長期化しそうであること、現状がさほど良くないことから、先行きは厳しい。,
,,▲,美容室（経営者）,・イラク情勢の影響が間接的に出る。今後どうなるか、予測がつかない。,
,,▲,その他サービス［語学学校］（総責任者）,・訪問者数、販売数、他社の動きから、厳しい状況が続くと判断できる。イラク情勢を受け、留学センターの来訪者が減少している。,
,,▲,住宅販売会社（従業員）,・税制改革などがあり、販売量については相応の数が見込めるが、仕入が全くできていないため、２、３か月後に売り物がない状況が続く。,
,,×,一般小売店［茶］（経営者）,・イラクでの戦争が長引くという予想があり、消費者も必要以外は出費を抑えるため、消費が落ち込む。,
,,×,一般小売店［米穀］（経営者）,・今まで売れていた新潟米や新潟の魚沼米が暴騰している。この状況が続けば、客が敏感に反応して得意客が減る。,
,,×,一般小売店［寝具］（経営者）,・戦争と選挙が影響する。,
,,×,コンビニ（経営者）,・イラク戦争等の影響をどの程度受けるか、心配している。,
,,×,衣料品専門店（経営者）,・イラク情勢の影響で、皆が怖くなって金を使わなくなっている。学生服についても、中古品をもらうなど、新しく購入する客が大きく減少している。,
,,×,衣料品専門店（次長）,・イラク情勢の影響で石油価格が上昇し、製品材料の価格も高騰するため、消費が冷え込む。,
,,×,自動車備品販売店（経理担当）,・売れ筋商品が伸び悩んでいる。注文をもらっても、客の都合で、ほとんどが取り消しになる。,
,,×,一般レストラン（経営者）,・戦争終結の時期が問題である。景気の不透明感は拭えない。,
,,×,スナック（経営者）,・３月は送別会シーズンなので、例年であればにぎわう時期であるのに、今年は送別会の数が少なく、行っても小規模である。４月、５月は新入社員の歓迎会があるが、こちらも期待できない。,
,,×,通信会社（社員）,・イラクでの戦争の長期化によって、日本の対米支援額が巨大になり、景気が悪くなる。,
,,×,美容室（経営者）,・周辺にディスカウント店が増えすぎている。,
,,×,設計事務所（経営者）,・前年の12月以降、新しい仕事が全くない。同業者にも仕事は皆無で、民間、行政いずれからも仕事がない。戦争の影響もあるかもしれないが、６、７月まで仕事がない状態が続く。,
,,×,住宅販売会社（経営者）,・従来と比較し、金融機関の融資が非常に厳しくなっている。,
"企業
動向
関連

(南関東)",,◎,－,－,
,,○,出版・印刷・同関連産業（営業担当）,・企業からの注文が例年になく増加しており、忙しい。,
,,□,繊維工業（経営者）,・イラク情勢等で、世の中全体が沈滞ムードとなっており、この傾向は当分継続する。,
,,□,金属製品製造業（経営者）,・試作仕事が主である当社の３月売上は、期末に多くの取引先で予算がなくなったため、20％減となりそうである。多くの取引先では、４月後半ごろから来期の予算が使えるが、その額は前年度並みである。イラク情勢の悪化、北朝鮮問題が流動的で、仕事が減ることはあっても増えることはないと取引先に言われている。,
,,□,一般機械器具製造業（経営者）,・今後のイラク情勢に注目している。一部の会社で受注が減少しているという話はあるが、その他の会社ではまだ影響はないようである。弱電関係は、相変わらず忙しそうである。,
,,□,電気機械器具製造業（経営者）,・引き合いや見積要請の状況から､この先も今まで通りの受注は確保できる。戦争の影響は今のところない。,
,,□,建設業（経理担当）,・新年度を迎えるが、予算をみると、今までの年のような明るい材料が見当たらない。,
,,□,金融業（審査担当）,・前向きな資金需要が依然として少なく、取引先の受注や売上高も減少している。,
,,□,金融業（渉外担当）,・来年度の設備投資計画について、更新投資程度ですませる企業がほとんどであり、借入をしてまで設備投資をしようとする企業は皆無である。,
,,□,税理士,・イラク情勢、北朝鮮の問題があって､それらの影響による米国の景気の動きが、国内の問題よりも主である。,
,,□,その他サービス業［廃棄物処理］（経営者）,・新規問い合わせも入るようになっているが、取引がなくなったり、取引量が減少しているケースも多く、全体ではまだ厳しい状況が続く。,
,,□,その他サービス業［情報サービス］（従業員）,・ＩＴ関連設備への投資について、顧客が新年度の予算要求をしても、実際に予算がつくのか、難しい状況である。,
,,▲,電気機械器具製造業（経営者）,・受注から納品までの期間が短縮されている。得意先からの発注も遅くなり､３か月先の見通しが立てにくい。,
,,▲,輸送用機械器具製造業（経営者）,・新年度恒例の値下げ、値引き競争、イラク情勢の長期化で、先行きが非常に心配である。,
,,▲,建設業（営業担当）,・不況の影響もあり、設備投資ができる余力のある顧客が少なくなっている反面、イラク情勢の緊迫化に伴い物資が高騰していることもあり、仕事の受注にも影響している。当面、景気の回復は期待できない。,
,,▲,金融業（得意先担当）,・以前は建設関係の倒産が多かったが、今は業種にかかわらず倒産、不渡りが増加しており、今後も増えると予想される。,
,,▲,不動産業（総務担当）,・空室を埋めるためには、賃料の思いきった値下げしか手段がなくなる。,
,,▲,広告代理店（従業員）,・全体的に売上が落ちている。行政の仕事に伴う売上も、軒並み減少している。,
,,×,食料品製造業（経営者）,・石油製品の値上がりにより､原材料などの値段が上がる。,
,,×,輸送業（総務担当）,・得意先の新年度の出荷計画では、現在の輸出の特需はあるが、安定確保が必要な国内出荷が前年比60％となっており、非常に厳しい。今年は前年以上に厳しくなると認識している。,
"雇用
関連

(南関東)",,◎,－,－,
,,○,求人情報誌製作会社（営業担当）,・積極採用に向けて、動き始めているところが出てきている。,
,,○,求人情報誌製作会社（編集担当）,"・４月に主要駅前の再開発ビルがオープンするので、街に活気が出る。
・大手企業の進出の話もあり、それに伴う雇用が見込める。",
,,○,職業安定所（職員）,・パートの比率が多少高くなってきているが、求人は確実に増加を続けており、今後数か月も同様に推移する。,
,,□,人材派遣会社（社員）,・中小企業の経営者の多くは、４月以降景気が持ち直すと考えていたが、戦争が始まったため、この数か月は良くならないと考える人が増加している。,
,,□,求人情報誌製作会社（企画担当）,・株価の下落により、中途採用を計画していた企業が採用を見送る状況が生じている。先行きについては、全く不透明である。,
,,□,職業安定所（職員）,・正社員求人は前年並みで、パート求人の増加率の方が高い。求人の内容については、業務請負業の大量求人が目立つ。求職者数は前年並みであるであるが、人員削減の情報は多く、今後も現在の状況が続く。,
,,▲,人材派遣会社（支店長）,・米国同時多発テロの時には、多くの外資系企業の契約が終了した。今回の戦争により、同様のことが起きる可能性がある。,
,,▲,求人情報誌製作会社（経営者）,・３月であるにもかかわらず、募集広告数が例年よりも減少している。連休明けには、今以上に減少することが予想され、中高齢者にとって非常に厳しいと予想される。,
,,▲,職業安定所（職員）,・求職者の自己検索機利用状況を分析すると、25～34歳で23.5％、50～59歳で28.7％と、これらの年齢層で全体の52.2％を占めている。高齢者の滞留、若年者の労働条件等の悪化がうかがえる。,
,,▲,学校［専修学校］（就職担当）,・採用計画を未定に変更した企業担当者から、更に採用見送りとなる可能性が高いという話を多数聞いている。,
,,×,民間職業紹介機関（経営者）,・雇用条件が良くなる兆しがない。大企業出身の中高年者が再就職した場合、給料が半減するのは常識となっている。,
,,×,学校［短期大学］（総務担当）,・国内における金融等の経営不安、国際的にはイラク情勢の長期化による経済不況の恐れが感じられる。,
,,,,,
　５．東海（地域別調査機関：（株）ＵＦＪ総合研究所）,,,,,
,,,,（－：回答が存在しない、＊：主だった回答等が存在しない）,
分野,,景気の先行き判断,業種・職種,景気の先行きに対する判断理由,
"家計
動向
関連

(東海)",,◎,商店街（代表者）,・イラク情勢に関連した特需が発生し、その波及効果によって良い影響が出る。,
,,○,一般小売店［土産］（経営者）,・イラク情勢が一段落した後、復興活動に伴う良い影響が出る。,
,,○,百貨店（企画担当）,・春物の動きが良く、高級ブランド品も順調に推移している。,
,,○,スーパー（仕入担当）,・コンビニ等の出店が相次ぎ予断を許さないが、店舗改装や競合店とのより一層の差別化により、客数は増加する。,
,,○,乗用車販売店（従業員）,・新商品が出てくる。,
,,○,乗用車販売店（従業員）,・イラク情勢の行方が懸念されるが、経済の動向としては良い方向に向かう。,
,,○,乗用車販売店（総務担当）,・イラク情勢が一段落した後、原油価格も低下して、底打ち感が出てくる。,
,,○,その他サービス［介護サービス］（職員）,・介護保険対象の福祉用具貸与品目が増え、新たな市場が伸びる。,
,,○,設計事務所（経営者）,・わずかではあるが、新しい計画が出てきている。,
,,□,スーパー（経営者）,・客単価は1800～2300円と低下したままである。雇用環境が不安定であり、イラク情勢の影響も心配される。,
,,□,スーパー（経営者）,・相変わらずのチラシ合戦で低価格による乱売が続いている。また、バーゲンを狙った買物客がだんだん増えてきている。,
,,□,スーパー（経営者）,・イラク情勢の影響が心配される。,
,,□,スーパー（店長）,・健康保険料、社会保険料の負担増加、発泡酒の増税等があり、今後の回復見込みはない。,
,,□,スーパー（店員）,・競合店の進出があり、来客数はかなり減少している。,
,,□,スーパー（店員）,・客の低価格志向が強いため、競合店との価格競争が激化している。,
,,□,コンビニ（エリア担当）,・同業他社との競合は更に厳しくなってきており、売上の前年割れ状況は今後も続く。,
,,□,衣料品専門店（企画担当）,・購買意欲を喚起できる要素がみあたらない。今後もシーズンピークでの売上の減少が予想される。,
,,□,家電量販店（店長）,・新製品が一定のペースで出てくるが、エアコン等でも高額商品の売行きはあまり望めない。,
,,□,一般レストラン（スタッフ）,・売上の前年比が低下している。,
,,□,スナック（経営者）,・毎月の売上が前年を上回ることがない。客の話題も暗いものが多い。,
,,□,都市型ホテル（スタッフ）,・ゴールデンウィークの宿泊予約が少ない。,
,,□,美容室（経営者）,・通常のヘアカットにプラスアルファする部分で、お金を使わなくなってきている。,
,,▲,商店街（代表者）,・イラク情勢の影響で原油、石油製品の高とうが見込まれ、現状維持は難しい。,
,,▲,商店街（代表者）,・商店街の雰囲気が全体的に弱い。,
,,▲,一般小売店［酒］（経営者）,・前年一年間で地元小売業の店舗数が10％ほど減少している。活気のある当商店街でも廃業、賃貸への契約変更などが6.5％ほどあり、今後も小売業の先行きは暗い。,
,,▲,一般小売店［高級精肉］（企画担当）,・イラク情勢の影響が出てくる。,
,,▲,一般小売店［和菓子］（企画担当）,・全ての面で先行きが不透明で、消費意欲が伸びて来ない。,
,,▲,百貨店（売場主任）,・イラク情勢の影響で、輸入の多い靴などの革製品の仕入れ価格の上昇がある。,
,,▲,百貨店（企画担当）,・イラク情勢の影響で、客の購買意欲が低下する。特に高級輸入ブランドなどの高額品が影響を受けやすく、全体の業績にも大きなダメージとなる。,
,,▲,スーパー（店長）,・イラク情勢の影響で、客は購買に対して一層慎重になる。,
,,▲,コンビニ（経営者）,・個人経営の商店、コンビニで廃業が相次いでいる。,
,,▲,コンビニ（エリア担当）,・各店の経営に余裕がないうえ、新たな競合店の進出予定がある。,
,,▲,家電量販店（経営者）,・客は買物に慎重で、買い得商品ばかり購入している。そのため単価、売上も減少する。,
,,▲,乗用車販売店（経営者）,・イラク情勢の影響で、今後は消費が更に減少する。,
,,▲,乗用車販売店（従業員）,・イラク情勢の影響もあり、先行き不安である。,
,,▲,住関連専門店（営業担当）,・リフォーム工事が多少出てきている反面、新築の落ち込みが著しい。,
,,▲,高級レストラン（スタッフ）,・客の賃金が伸びないうえに、社会保険などの負担が増加し、先行きに楽観できる要素がない。,
,,▲,観光型ホテル（スタッフ）,・割引パックの予約が中心になっており、一般商品は２割ほど落ち込む。,
,,▲,都市型ホテル（スタッフ）,・イラク情勢の影響で宿泊、宴会がキャンセルされている。,
,,▲,都市型ホテル（スタッフ）,・企業の努力だけではどうにもならない状況である。,
,,▲,旅行代理店（経営者）,・イラク情勢、北朝鮮情勢が大きな懸念材料になっている。,
,,▲,旅行代理店（従業員）,・イラク情勢の影響が更に顕著に出てくる。,
,,▲,旅行代理店（従業員）,・イラク情勢の影響で海外旅行が減少する。,
,,▲,タクシー（経営者）,・イラク情勢の影響が出てくる。,
,,▲,タクシー運転手,・イラク情勢の影響でガソリンの値段も高とうし始めている。,
,,▲,通信会社（企画担当）,・イラク情勢の長期化により、大きな影響が出てくる。,
